"index","gender","car","reality","child_num","income_total","income_type","edu_type","family_type","house_type","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","work_phone","phone","email","occyp_type","family_size","begin_month","credit"
32,"F","N","Y",0,135000,"Working","Higher education","Married","House / apartment",-13299,-1628,1,0,0,0,"Laborers",2,-2,"good"
33,"M","N","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-19200,-346,1,0,1,0,"High skill tech staff",2,-30,"bad"
34,"M","Y","Y",1,270000,"Working","Secondary / secondary special","Married","House / apartment",-14488,-1630,1,0,1,0,"Laborers",3,-22,"good"
35,"F","Y","N",0,225000,"Working","Higher education","Civil marriage","House / apartment",-14438,-2433,1,0,0,0,"Managers",2,-20,"bad"
36,"F","Y","N",0,225000,"Working","Higher education","Single / not married","House / apartment",-20200,-1022,1,1,1,0,"Accountants",1,-14,"bad"
37,"M","Y","Y",0,585000,"Commercial associate","Secondary / secondary special","Married","With parents",-16653,-1646,1,0,0,0,"Drivers",2,-8,"bad"
38,"F","N","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-13582,-3472,1,0,0,0,"Sales staff",2,-41,"bad"
39,"M","Y","Y",2,112500,"Working","Secondary / secondary special","Married","House / apartment",-13022,-1600,1,0,0,0,"Laborers",4,-39,"bad"
40,"M","Y","Y",0,90900,"Working","Secondary / secondary special","Married","House / apartment",-21700,-2426,1,0,0,0,"Laborers",2,-21,"good"
41,"F","N","Y",2,99000,"Commercial associate","Higher education","Married","House / apartment",-12752,-433,1,0,1,0,"Accountants",4,-19,"bad"
42,"M","N","N",1,270000,"Working","Secondary / secondary special","Married","House / apartment",-9943,-554,1,1,0,0,"Managers",3,-35,"good"
43,"F","N","N",0,67500,"Working","Secondary / secondary special","Married","House / apartment",-9963,-1876,1,0,0,0,"Sales staff",2,-8,"good"
44,"M","N","N",0,247500,"Working","Higher education","Civil marriage","House / apartment",-15125,-199,1,0,0,0,"Drivers",2,-26,"bad"
45,"M","Y","N",0,405000,"Working","Higher education","Married","House / apartment",-18655,-3200,1,1,1,0,"High skill tech staff",2,-4,"good"
46,"F","N","N",0,135000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21100,365243,1,0,1,0,"",1,-24,"bad"
47,"F","Y","Y",0,292500,"Commercial associate","Higher education","Married","House / apartment",-18409,-3482,1,0,0,0,"Sales staff",2,-48,"bad"
48,"F","N","Y",0,99000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23585,365243,1,0,0,0,"",2,-4,"bad"
49,"F","N","Y",0,585000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-18858,-2010,1,0,1,0,"",2,-12,"bad"
50,"F","Y","N",1,90000,"Working","Secondary / secondary special","Married","House / apartment",-13951,-1101,1,1,0,0,"Sales staff",3,-4,"bad"
51,"M","Y","Y",0,495000,"Working","Incomplete higher","Married","With parents",-8917,-1101,1,0,0,1,"Drivers",2,-10,"bad"
52,"F","N","Y",0,54000,"Pensioner","Secondary / secondary special","Married","House / apartment",-24044,365243,1,0,1,0,"",2,-37,"bad"
53,"F","Y","Y",2,306000,"State servant","Higher education","Married","House / apartment",-13541,-3965,1,0,0,0,"Core staff",4,-42,"bad"
54,"F","N","N",1,99000,"Working","Secondary / secondary special","Married","House / apartment",-15626,-422,1,0,0,0,"",3,-2,"good"
55,"F","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-13856,-3010,1,0,0,0,"Laborers",2,-24,"bad"
56,"F","Y","Y",0,130500,"Working","Secondary / secondary special","Married","House / apartment",-16137,-9391,1,0,1,0,"Laborers",2,-29,"bad"
57,"F","N","Y",0,225000,"Commercial associate","Higher education","Single / not married","House / apartment",-17031,-642,1,0,0,0,"Core staff",1,-3,"good"
58,"F","N","Y",0,144000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23334,365243,1,0,0,0,"",2,-23,"bad"
59,"F","N","Y",0,360000,"Pensioner","Higher education","Married","House / apartment",-22985,365243,1,0,1,0,"",2,-25,"bad"
60,"M","Y","Y",0,112500,"Pensioner","Secondary / secondary special","Separated","House / apartment",-21397,365243,1,0,0,0,"",1,-1,"good"
61,"M","Y","N",1,270000,"Commercial associate","Higher education","Married","House / apartment",-11373,-1371,1,0,0,0,"Managers",3,-15,"bad"
62,"F","Y","Y",0,225000,"Working","Higher education","Married","House / apartment",-17402,-3153,1,0,1,0,"Core staff",2,-40,"good"
63,"M","Y","Y",0,315000,"Working","Higher education","Married","House / apartment",-15586,-3337,1,0,0,0,"Managers",2,-21,"bad"
64,"M","Y","N",0,67500,"Commercial associate","Secondary / secondary special","Single / not married","Municipal apartment",-9047,-716,1,0,0,0,"Security staff",1,-32,"bad"
65,"F","N","Y",0,40500,"Working","Secondary / secondary special","Married","House / apartment",-12729,-4936,1,1,0,0,"Cleaning staff",2,-10,"bad"
66,"M","N","Y",1,144000,"Working","Secondary / secondary special","Married","House / apartment",-13761,-2783,1,0,0,0,"Laborers",3,-4,"good"
67,"F","N","Y",2,157500,"Commercial associate","Higher education","Married","House / apartment",-12135,-1216,1,0,0,0,"High skill tech staff",4,-2,"good"
68,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-10309,-1610,1,0,0,0,"Laborers",2,-14,"good"
69,"F","N","Y",0,157500,"Working","Higher education","Married","House / apartment",-15462,-2969,1,0,0,1,"Medicine staff",2,-59,"bad"
70,"M","N","Y",0,81000,"Commercial associate","Higher education","Single / not married","House / apartment",-9874,-1928,1,0,1,0,"Laborers",1,-39,"bad"
71,"M","Y","N",2,202500,"Working","Secondary / secondary special","Married","House / apartment",-15904,-3787,1,0,0,0,"Laborers",4,-54,"bad"
72,"F","N","N",0,351000,"Commercial associate","Higher education","Married","House / apartment",-21574,-1081,1,0,1,0,"",2,-4,"bad"
73,"F","N","Y",0,180000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23269,365243,1,0,1,0,"",2,-34,"bad"
74,"F","N","Y",1,67500,"Working","Secondary / secondary special","Married","House / apartment",-10350,-219,1,1,1,0,"Sales staff",3,-25,"bad"
75,"F","Y","Y",0,315000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15653,-5500,1,0,0,1,"Core staff",2,-34,"bad"
76,"F","Y","N",0,315000,"Commercial associate","Higher education","Married","House / apartment",-13557,-586,1,1,1,0,"",2,-15,"bad"
77,"F","N","N",0,135000,"Working","Higher education","Single / not married","House / apartment",-9818,-520,1,0,0,0,"Core staff",1,-7,"good"
78,"F","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-12690,-231,1,1,0,0,"Sales staff",2,-23,"good"
79,"F","Y","Y",1,225000,"Working","Higher education","Separated","House / apartment",-14816,-1672,1,0,0,0,"Core staff",2,-2,"good"
80,"F","N","Y",0,247500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-17862,-212,1,0,0,0,"Laborers",2,-2,"good"
81,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-10314,-962,1,0,0,1,"Sales staff",2,0,"good"
82,"F","Y","Y",0,216000,"Working","Higher education","Civil marriage","House / apartment",-15274,-1423,1,0,0,1,"Accountants",2,-53,"bad"
83,"F","N","N",2,180000,"Working","Higher education","Married","House / apartment",-11905,-1700,1,0,0,0,"High skill tech staff",4,-38,"good"
84,"M","Y","Y",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23563,365243,1,0,1,0,"",2,-27,"bad"
85,"M","Y","N",0,184500,"Working","Secondary / secondary special","Married","Municipal apartment",-18013,-1215,1,0,0,0,"Laborers",2,-41,"good"
86,"M","Y","Y",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-12571,-451,1,1,0,1,"Drivers",3,-45,"bad"
87,"F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Widow","House / apartment",-13270,-235,1,1,1,1,"Core staff",1,-56,"bad"
88,"F","Y","Y",0,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-20412,-5427,1,0,0,0,"Managers",2,-45,"bad"
89,"M","N","N",0,450000,"Commercial associate","Incomplete higher","Married","House / apartment",-14465,-4145,1,1,1,0,"Managers",2,-59,"bad"
90,"F","N","Y",0,45000,"State servant","Secondary / secondary special","Married","House / apartment",-20200,-9404,1,1,0,0,"Cleaning staff",2,-30,"bad"
91,"F","Y","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-18744,-2988,1,0,0,0,"Private service staff",2,-20,"bad"
92,"M","Y","Y",1,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12190,-691,1,0,0,0,"Laborers",3,-5,"bad"
93,"F","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19053,-3629,1,0,0,0,"High skill tech staff",1,-22,"good"
94,"F","N","Y",0,180000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23770,365243,1,0,0,0,"",2,-26,"bad"
95,"M","N","Y",0,79650,"Pensioner","Secondary / secondary special","Married","House / apartment",-16081,365243,1,0,1,0,"",2,-14,"bad"
96,"M","N","Y",0,450000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-23674,-2087,1,0,0,0,"Security staff",2,-56,"bad"
97,"M","Y","Y",0,157500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-9373,-1212,1,0,0,0,"Drivers",2,-46,"bad"
98,"M","Y","Y",0,450000,"Commercial associate","Higher education","Single / not married","House / apartment",-10837,-588,1,0,0,1,"Sales staff",1,-5,"bad"
99,"F","N","N",0,270000,"State servant","Secondary / secondary special","Separated","House / apartment",-19363,-12332,1,0,1,1,"Medicine staff",1,-35,"bad"
100,"F","N","Y",0,135000,"Working","Higher education","Married","House / apartment",-22112,-8491,1,0,0,0,"Private service staff",2,-9,"bad"
101,"F","N","Y",0,81000,"Working","Secondary / secondary special","Married","House / apartment",-19661,-3046,1,1,1,0,"Managers",2,-2,"good"
102,"F","N","N",1,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12269,-604,1,0,0,0,"Managers",3,-12,"bad"
103,"M","Y","N",0,315000,"Working","Higher education","Married","House / apartment",-15825,-3720,1,1,1,0,"Managers",2,-12,"bad"
104,"M","Y","Y",0,225000,"Commercial associate","Higher education","Single / not married","House / apartment",-15994,-2537,1,0,1,0,"Sales staff",1,-7,"good"
105,"M","Y","Y",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-9984,-2606,1,0,0,0,"Laborers",2,-5,"bad"
106,"F","N","N",1,90000,"Working","Secondary / secondary special","Married","House / apartment",-16118,-1959,1,0,1,0,"",3,-47,"bad"
107,"F","Y","N",1,306000,"Working","Higher education","Married","House / apartment",-9310,-1678,1,0,0,0,"",3,-4,"good"
108,"F","N","Y",0,153000,"Working","Higher education","Single / not married","House / apartment",-10762,-683,1,0,1,0,"Core staff",1,-22,"bad"
109,"F","N","Y",0,126000,"Working","Secondary / secondary special","Married","House / apartment",-22811,-2234,1,1,1,0,"High skill tech staff",2,-13,"bad"
110,"M","Y","Y",0,315000,"Commercial associate","Higher education","Married","House / apartment",-12846,-164,1,0,0,0,"Managers",2,-57,"bad"
111,"M","Y","Y",1,225000,"Working","Secondary / secondary special","Married","House / apartment",-16175,-2371,1,0,0,0,"Drivers",3,-44,"bad"
112,"F","N","N",0,193500,"Working","Secondary / secondary special","Single / not married","House / apartment",-17826,-201,1,0,1,0,"Laborers",1,-4,"bad"
113,"F","N","Y",2,90000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17384,-1138,1,0,0,0,"Cooking staff",4,-36,"good"
114,"M","Y","Y",2,135000,"Working","Higher education","Married","House / apartment",-11564,-2944,1,0,0,1,"Managers",4,-43,"bad"
115,"F","N","N",0,81000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20920,365243,1,0,0,0,"",2,-49,"bad"
116,"F","Y","Y",1,382500,"Working","Secondary / secondary special","Married","House / apartment",-14317,-2751,1,0,0,0,"Managers",3,-11,"bad"
117,"F","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-16173,-674,1,0,0,0,"Sales staff",2,-27,"bad"
118,"F","N","Y",0,112500,"Working","Higher education","Married","House / apartment",-18259,-5756,1,0,1,0,"Sales staff",2,-47,"bad"
119,"F","N","Y",2,144000,"Working","Secondary / secondary special","Married","House / apartment",-12393,-1854,1,1,1,0,"Cooking staff",4,0,"good"
120,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21497,365243,1,0,0,0,"",1,-4,"good"
121,"F","N","N",0,144000,"Working","Secondary / secondary special","Married","Municipal apartment",-16641,-9988,1,1,1,0,"Sales staff",2,-35,"bad"
122,"F","Y","Y",2,283500,"State servant","Higher education","Married","House / apartment",-12902,-4120,1,0,0,0,"Core staff",4,-39,"bad"
123,"F","N","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-19431,-6226,1,0,0,0,"High skill tech staff",2,-48,"bad"
124,"F","Y","Y",2,90000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15525,-3357,1,0,0,0,"Accountants",4,-55,"bad"
125,"M","N","Y",0,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12483,-4039,1,0,0,0,"Managers",2,-42,"bad"
126,"F","Y","N",1,175500,"Commercial associate","Secondary / secondary special","Single / not married","Municipal apartment",-11709,-4983,1,0,0,0,"Laborers",2,-45,"bad"
127,"M","Y","Y",1,360000,"Commercial associate","Higher education","Married","House / apartment",-16537,-410,1,0,1,1,"Laborers",3,-30,"bad"
128,"F","N","Y",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-13741,-5221,1,0,0,0,"Laborers",3,-38,"good"
129,"M","N","N",1,315000,"Working","Secondary / secondary special","Married","House / apartment",-17537,-1749,1,0,0,0,"Laborers",3,-11,"bad"
130,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,-1,"good"
131,"F","Y","N",0,202500,"Commercial associate","Secondary / secondary special","Civil marriage","With parents",-14228,-5330,1,0,1,0,"",2,-33,"good"
132,"F","N","N",0,225000,"Commercial associate","Higher education","Married","House / apartment",-10559,-429,1,1,1,0,"Drivers",2,-35,"bad"
133,"F","Y","N",1,387000,"Working","Higher education","Married","House / apartment",-13168,-2574,1,0,0,0,"Managers",3,-22,"bad"
134,"F","Y","Y",0,135000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-22991,365243,1,0,0,0,"",1,-6,"bad"
135,"M","Y","N",1,337500,"Commercial associate","Higher education","Separated","House / apartment",-15333,-196,1,0,1,0,"Managers",2,-23,"good"
136,"F","N","N",1,225000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-12640,-399,1,0,0,0,"Accountants",3,-29,"bad"
137,"F","Y","Y",1,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13591,-3246,1,0,0,0,"Sales staff",3,-46,"bad"
138,"F","N","Y",0,54000,"Pensioner","Secondary / secondary special","Married","House / apartment",-24367,365243,1,0,0,0,"",2,-2,"good"
139,"F","Y","N",0,157500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13590,-982,1,0,1,0,"",2,-39,"bad"
140,"M","Y","Y",1,180000,"Working","Higher education","Married","With parents",-11917,-1680,1,1,0,0,"Laborers",3,-15,"good"
141,"F","Y","Y",1,112500,"Commercial associate","Higher education","Civil marriage","House / apartment",-10551,-3000,1,0,0,1,"Core staff",3,-12,"bad"
142,"M","Y","Y",0,360000,"Working","Higher education","Married","House / apartment",-22456,-1934,1,0,1,0,"Managers",2,-11,"bad"
143,"F","Y","Y",0,256500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13821,-1071,1,0,0,1,"Core staff",2,-45,"bad"
144,"F","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-10351,-1322,1,0,0,0,"",2,-8,"bad"
145,"F","Y","N",0,202500,"State servant","Secondary / secondary special","Married","House / apartment",-19598,-11940,1,0,1,0,"Medicine staff",2,-7,"bad"
146,"F","N","N",0,247500,"Working","Higher education","Married","House / apartment",-14136,-7400,1,1,1,0,"Managers",2,-6,"good"
147,"F","N","Y",0,157500,"Working","Higher education","Married","House / apartment",-12681,-709,1,0,0,0,"Sales staff",2,-11,"good"
148,"M","Y","Y",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-14496,-808,1,0,1,0,"",2,-26,"bad"
149,"F","N","Y",2,112500,"Working","Secondary / secondary special","Married","House / apartment",-12974,-2379,1,0,0,0,"Laborers",4,-49,"good"
150,"F","Y","N",1,157500,"Working","Higher education","Married","House / apartment",-11900,-2828,1,0,0,0,"Laborers",3,-41,"bad"
151,"M","Y","Y",0,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15344,-314,1,0,0,0,"Drivers",2,-33,"bad"
152,"F","Y","Y",0,360000,"Working","Secondary / secondary special","Separated","House / apartment",-10597,-574,1,1,0,0,"Medicine staff",1,-35,"bad"
153,"M","Y","Y",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17975,-3476,1,0,0,0,"Drivers",2,-32,"good"
154,"F","N","N",0,175500,"Working","Secondary / secondary special","Married","House / apartment",-18868,-10993,1,1,0,0,"",2,-46,"bad"
155,"F","N","Y",0,90000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20362,365243,1,0,0,0,"",2,-35,"bad"
156,"M","N","Y",1,135000,"Working","Secondary / secondary special","Separated","House / apartment",-16728,-880,1,0,0,0,"Laborers",2,-38,"bad"
157,"M","N","Y",2,157500,"Working","Secondary / secondary special","Married","House / apartment",-10087,-1447,1,0,0,0,"",4,-44,"bad"
158,"M","N","Y",1,202500,"State servant","Higher education","Married","House / apartment",-10756,-2355,1,0,0,0,"Core staff",3,-39,"bad"
159,"F","N","Y",0,153000,"Pensioner","Higher education","Married","House / apartment",-21899,365243,1,0,1,0,"",2,-51,"good"
160,"F","Y","Y",1,72000,"Working","Secondary / secondary special","Married","House / apartment",-17136,-1266,1,0,0,0,"Sales staff",3,-11,"bad"
161,"M","Y","Y",2,360000,"Working","Secondary / secondary special","Married","House / apartment",-13465,-839,1,0,1,0,"Managers",4,-33,"good"
162,"F","N","N",1,540000,"Working","Secondary / secondary special","Separated","House / apartment",-16409,-2045,1,1,0,0,"Managers",2,-60,"bad"
163,"F","N","Y",0,155250,"Pensioner","Secondary / secondary special","Married","House / apartment",-22044,365243,1,0,0,0,"",2,-24,"bad"
164,"M","Y","Y",0,189000,"Working","Secondary / secondary special","Married","House / apartment",-20815,-829,1,0,0,1,"Security staff",2,-3,"good"
165,"F","N","Y",0,139500,"State servant","Higher education","Married","House / apartment",-21017,-895,1,1,1,0,"",2,-4,"good"
166,"F","N","Y",0,495000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21596,365243,1,0,1,0,"",1,-15,"bad"
167,"M","Y","N",0,459000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15980,-119,1,1,1,0,"Drivers",2,-14,"bad"
168,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-19702,-9870,1,1,1,0,"",2,-21,"good"
169,"F","N","Y",1,225000,"Working","Secondary / secondary special","Separated","House / apartment",-14077,-3792,1,0,0,0,"",2,-3,"good"
170,"M","Y","Y",1,450000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-18173,-678,1,0,1,1,"Core staff",3,-60,"bad"
171,"F","N","N",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-15499,-869,1,0,0,0,"Private service staff",2,-2,"good"
172,"M","N","Y",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-15812,-8091,1,0,0,0,"",3,-49,"good"
173,"F","N","Y",0,189000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23086,365243,1,0,0,0,"",2,-19,"good"
174,"F","N","Y",0,225000,"Commercial associate","Higher education","Married","House / apartment",-10755,-1040,1,0,0,1,"Sales staff",2,-15,"bad"
175,"M","N","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-10705,-1376,1,0,0,0,"Drivers",2,-2,"good"
176,"F","Y","N",0,315000,"State servant","Higher education","Married","House / apartment",-17940,-9957,1,1,0,0,"Managers",2,-26,"bad"
177,"F","N","N",0,157500,"Commercial associate","Higher education","Single / not married","Rented apartment",-11785,-1415,1,0,0,0,"",1,-22,"good"
178,"M","N","N",0,126000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20288,365243,1,0,0,0,"",2,-12,"bad"
179,"M","Y","Y",0,315000,"Commercial associate","Secondary / secondary special","Married","Rented apartment",-16990,-2026,1,0,0,0,"Drivers",2,-19,"bad"
180,"F","Y","Y",0,720000,"Commercial associate","Higher education","Separated","House / apartment",-20791,-4814,1,1,1,0,"Managers",1,-58,"bad"
181,"F","N","Y",0,90000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20718,365243,1,0,0,0,"",2,-5,"good"
182,"F","N","Y",2,67500,"Working","Higher education","Married","House / apartment",-10281,-961,1,1,0,0,"",4,-12,"good"
183,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-22861,365243,1,0,1,0,"",2,-42,"good"
184,"M","Y","N",0,225000,"Working","Secondary / secondary special","Married","Office apartment",-15092,-995,1,0,0,1,"Drivers",2,-46,"bad"
185,"F","N","Y",0,180000,"Working","Lower secondary","Widow","House / apartment",-16803,-2227,1,1,1,0,"Cleaning staff",1,-49,"bad"
186,"F","Y","Y",0,216000,"Working","Higher education","Married","House / apartment",-18529,-1809,1,0,0,0,"Secretaries",2,-10,"bad"
187,"F","Y","Y",1,157500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13830,-4239,1,0,0,0,"Laborers",3,-4,"good"
188,"F","N","N",0,112500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-20027,365243,1,0,0,0,"",1,-26,"good"
189,"F","N","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-16573,-4574,1,0,0,0,"",2,-44,"bad"
190,"F","N","Y",0,90000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-23262,365243,1,0,1,0,"",1,-13,"good"
191,"F","N","N",0,121500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21310,365243,1,0,0,0,"",2,-28,"bad"
192,"F","N","Y",0,135000,"Working","Higher education","Married","House / apartment",-13299,-1628,1,0,0,0,"Laborers",2,-14,"bad"
193,"M","Y","N",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-16224,-2574,1,0,0,0,"Security staff",2,-22,"good"
194,"M","Y","N",1,252000,"State servant","Higher education","Married","House / apartment",-12483,-1650,1,1,1,0,"High skill tech staff",3,-19,"good"
195,"F","N","Y",0,202500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-10981,-552,1,0,0,0,"Laborers",2,-5,"bad"
196,"M","Y","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-9889,-2289,1,0,0,0,"Managers",2,-36,"bad"
197,"M","N","Y",1,360000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-11524,-2554,1,0,0,0,"Sales staff",3,-49,"bad"
