"X","user_seq","rent_date","rent_place","bike_id","return_place","return_date","using_time","dist","user_age","user_type","bill_type","rent_hour","rent_days","rent_wdays","return_hour","return_day","return_wdays","month","region"
3910,18234772,"2019-01-01 13:28:41","ST-1078","19B00900004D78","ST-891","2019-01-01 13:46:43",17,3170,"AGE_002","USR_001","BIL_004",13,1,3,13,1,3,1,"송파구"
3978,18234844,"2019-01-01 13:36:50","ST-391","19B0060000080C","ST-827","2019-01-01 13:55:57",18,2710,"AGE_002","USR_001","BIL_004",13,1,3,13,1,3,1,"동대문구"
3986,18234852,"2019-01-01 13:52:03","ST-289","19B00800003946","ST-1650","2019-01-01 13:56:47",4,600,"AGE_003","USR_001","BIL_014",13,1,3,13,1,3,1,"영등포구"
4089,18234963,"2019-01-01 14:04:21","ST-89","19B008000035FF","ST-211","2019-01-01 14:11:09",6,1510,"AGE_002","USR_001","BIL_006",14,1,3,14,1,3,1,"마포구"
4196,18235077,"2019-01-01 14:16:32","ST-771","19B00900004A0F","ST-772","2019-01-01 14:25:06",7,1930,"AGE_003","USR_001","BIL_004",14,1,3,14,1,3,1,"서초구"
4249,18235132,"2019-01-01 12:44:58","ST-73","19B009000049F1","ST-73","2019-01-01 14:32:06",100,6640,"AGE_001","USR_001","BIL_016",12,1,3,14,1,3,1,"영등포구"
4250,18235133,"2019-01-01 14:24:40","ST-348","19B0070000127B","ST-232","2019-01-01 14:32:08",7,1040,"AGE_002","USR_001","BIL_002",14,1,3,14,1,3,1,"서대문구"
4261,18235144,"2019-01-01 14:26:10","ST-1663","19B00900004C2D","ST-99","2019-01-01 14:34:05",7,1590,"AGE_003","USR_001","BIL_004",14,1,3,14,1,3,1,"광진구"
4307,18235196,"2019-01-01 14:24:13","ST-553","19B00900004AFA","ST-1681","2019-01-01 14:40:07",15,2270,"AGE_002","USR_001","BIL_006",14,1,3,14,1,3,1,"송파구"
4328,18235218,"2019-01-01 13:35:03","ST-805","19B00700000FE8","ST-807","2019-01-01 14:41:38",66,4050,"AGE_003","USR_001","BIL_014",13,1,3,14,1,3,1,"강남구"
4337,18235229,"2019-01-01 12:55:38","ST-154","19B00800003DC8","ST-154","2019-01-01 14:43:10",107,2660,"AGE_003","USR_001","BIL_014",12,1,3,14,1,3,1,"종로구"
4442,18235340,"2019-01-01 14:47:13","ST-1069","19B00900004D5E","ST-1249","2019-01-01 14:57:21",9,1450,"AGE_002","USR_001","BIL_004",14,1,3,14,1,3,1,"강서구"
4546,18235451,"2019-01-01 13:53:26","ST-56","19B00700000FF4","ST-1228","2019-01-01 15:10:13",76,16180,"AGE_004","USR_001","BIL_014",13,1,3,15,1,3,1,"영등포구"
4577,18235484,"2019-01-01 15:05:00","ST-1354","19B00800002017","ST-699","2019-01-01 15:13:48",8,2160,"AGE_003","USR_001","BIL_014",15,1,3,15,1,3,1,"동작구"
4610,18235521,"2019-01-01 15:07:52","ST-914","19B00800003944","ST-1290","2019-01-01 15:18:18",10,1500,"AGE_006","USR_001","BIL_005",15,1,3,15,1,3,1,"노원구"
4670,18235583,"2019-01-01 14:17:16","ST-1095","19B00800003DFB","ST-1298","2019-01-01 15:25:14",67,2650,"AGE_005","USR_001","BIL_014",14,1,3,15,1,3,1,"중랑구"
4851,18235776,"2019-01-01 15:32:50","ST-561","19B00800004523","ST-599","2019-01-01 15:46:10",13,2140,"AGE_003","USR_001","BIL_015",15,1,3,15,1,3,1,"중랑구"
4858,18235783,"2019-01-01 15:44:02","ST-127","19B00800003CC7","ST-124","2019-01-01 15:46:52",2,610,"AGE_003","USR_001","BIL_005",15,1,3,15,1,3,1,"중구"
4954,18235884,"2019-01-01 15:49:05","ST-1376","19B00700000F66","ST-1324","2019-01-01 15:55:23",5,1080,"AGE_002","USR_001","BIL_004",15,1,3,15,1,3,1,"용산구"
5273,18236226,"2019-01-01 15:10:26","ST-609","19B00900004931","ST-400","2019-01-01 16:28:12",74,15120,"AGE_003","USR_001","BIL_014",15,1,3,16,1,3,1,"노원구"
5372,18236333,"2019-01-01 16:36:07","ST-334","19B008000037F0","ST-435","2019-01-01 16:39:40",3,600,"AGE_005","USR_001","BIL_006",16,1,3,16,1,3,1,"용산구"
5419,18236382,"2019-01-01 16:30:22","ST-37","19B009000046C9","ST-233","2019-01-01 16:43:45",12,2580,"AGE_002","USR_001","BIL_015",16,1,3,16,1,3,1,"서대문구"
5482,18236453,"2019-01-01 16:29:53","ST-253","19B007000009C2","ST-1095","2019-01-01 16:49:47",19,2740,"AGE_003","USR_001","BIL_015",16,1,3,16,1,3,1,"광진구"
5515,18236487,"2019-01-01 16:43:38","ST-437","19B008000043D2","ST-946","2019-01-01 16:53:17",9,1340,"AGE_002","USR_001","BIL_004",16,1,3,16,1,3,1,"용산구"
5531,18236503,"2019-01-01 16:46:36","ST-857","19B00900004C62","ST-558","2019-01-01 16:55:49",9,1510,"AGE_003","USR_001","BIL_015",16,1,3,16,1,3,1,"중랑구"
5588,18236564,"2019-01-01 16:58:32","ST-1021","19B0060000057A","ST-455","2019-01-01 17:01:59",2,860,"AGE_003","USR_001","BIL_015",16,1,3,17,1,3,1,"은평구"
5635,18236613,"2019-01-01 17:01:40","ST-1307","19B007000013C1","ST-754","2019-01-01 17:06:05",4,920,"AGE_003","USR_001","BIL_004",17,1,3,17,1,3,1,"서초구"
5740,18236730,"2019-01-01 16:46:46","ST-288","19B008000036EB","ST-292","2019-01-01 17:16:09",29,2730,"AGE_002","USR_001","BIL_004",16,1,3,17,1,3,1,"영등포구"
5818,18236813,"2019-01-01 17:03:03","ST-1290","19B00600000576","ST-1128","2019-01-01 17:24:11",20,2920,"AGE_002","USR_001","BIL_015",17,1,3,17,1,3,1,"노원구"
5855,18236855,"2019-01-01 17:25:05","ST-363","19B0070000175F","ST-983","2019-01-01 17:28:31",2,610,"AGE_001","USR_001","BIL_005",17,1,3,17,1,3,1,"성동구"
5933,18236941,"2019-01-01 17:17:22","ST-563","19B00800004142","ST-574","2019-01-01 17:36:50",19,2780,"AGE_002","USR_001","BIL_005",17,1,3,17,1,3,1,"성북구"
6174,18237202,"2019-01-01 17:55:02","ST-729","19B00900004550","ST-712","2019-01-01 18:01:10",5,850,"AGE_002","USR_001","BIL_004",17,1,3,18,1,3,1,"동작구"
6210,18237240,"2019-01-01 17:56:25","ST-617","19B00800002928","ST-1279","2019-01-01 18:04:20",7,1130,"AGE_002","USR_001","BIL_002",17,1,3,18,1,3,1,"도봉구"
6229,18237265,"2019-01-01 17:39:06","ST-1659","19B00800004526","ST-1661","2019-01-01 18:07:34",28,3020,"AGE_002","USR_001","BIL_001",17,1,3,18,1,3,1,"성동구"
6286,18237328,"2019-01-01 17:52:26","ST-1501","19B00700000835","ST-312","2019-01-01 18:12:38",19,3550,"AGE_002","USR_001","BIL_004",17,1,3,18,1,3,1,"양천구"
6307,18237351,"2019-01-01 18:07:22","ST-111","19B008000024F8","ST-112","2019-01-01 18:14:53",7,1360,"AGE_003","USR_001","BIL_005",18,1,3,18,1,3,1,"성동구"
6310,18237354,"2019-01-01 18:06:16","ST-946","19B007000013BF","ST-437","2019-01-01 18:15:07",8,1370,"AGE_002","USR_001","BIL_006",18,1,3,18,1,3,1,"중구"
6401,18237456,"2019-01-01 18:15:46","ST-1064","19B00900004DBF","ST-1645","2019-01-01 18:25:00",8,1430,"AGE_004","USR_001","BIL_014",18,1,3,18,1,3,1,"강서구"
6516,18237578,"2019-01-01 18:13:02","ST-849","19B00800003EFD","ST-1346","2019-01-01 18:38:55",25,3870,"AGE_002","USR_001","BIL_004",18,1,3,18,1,3,1,"중랑구"
6908,18238016,"2019-01-01 19:19:53","ST-1081","19B00800002379","ST-891","2019-01-01 19:32:37",12,1360,"AGE_004","USR_001","BIL_005",19,1,3,19,1,3,1,"송파구"
6988,18238101,"2019-01-01 19:37:30","ST-311","19B00800002E72","ST-428","2019-01-01 19:45:20",7,1460,"AGE_002","USR_001","BIL_002",19,1,3,19,1,3,1,"양천구"
7175,18238303,"2019-01-01 20:08:45","ST-336","19B008000029F0","ST-128","2019-01-01 20:14:00",4,510,"AGE_003","USR_001","BIL_005",20,1,3,20,1,3,1,"종로구"
7464,18238610,"2019-01-01 20:24:30","ST-101","19B009000048CE","ST-445","2019-01-01 20:56:24",31,2870,"AGE_003","USR_001","BIL_014",20,1,3,20,1,3,1,"광진구"
7467,18238613,"2019-01-01 20:52:01","ST-368","19B006000000AE","ST-364","2019-01-01 20:56:44",4,900,"AGE_002","USR_001","BIL_004",20,1,3,20,1,3,1,"성동구"
7521,18238670,"2019-01-01 20:50:08","ST-95","19B00800002279","ST-110","2019-01-01 21:04:57",13,2030,"AGE_002","USR_001","BIL_014",20,1,3,21,1,3,1,"마포구"
7536,18238685,"2019-01-01 20:56:08","ST-712","19B00900004550","ST-1310","2019-01-01 21:07:11",10,1250,"AGE_002","USR_001","BIL_002",20,1,3,21,1,3,1,"관악구"
7567,18238718,"2019-01-01 20:58:40","ST-1259","19B00700000F1D","ST-1337","2019-01-01 21:12:00",13,1980,"AGE_003","USR_001","BIL_015",20,1,3,21,1,3,1,"관악구"
7598,18238751,"2019-01-01 21:11:10","ST-1671","19B00800001EFD","ST-1334","2019-01-01 21:17:41",6,1190,"AGE_003","USR_001","BIL_014",21,1,3,21,1,3,1,"동대문구"
7721,18238888,"2019-01-01 21:21:51","ST-903","19B00800001BE5","ST-822","2019-01-01 21:40:45",18,4180,"AGE_004","USR_001","BIL_005",21,1,3,21,1,3,1,"송파구"
7806,18238977,"2019-01-01 21:29:21","ST-527","19B00900004AD4","ST-517","2019-01-01 21:53:41",23,3670,"AGE_002","USR_001","BIL_004",21,1,3,21,1,3,1,"강서구"
7879,18239057,"2019-01-01 21:59:11","ST-849","19B007000017E5","ST-1096","2019-01-01 22:05:09",5,1080,"AGE_003","USR_001","BIL_004",21,1,3,22,1,3,1,"중랑구"
7971,18239159,"2019-01-01 22:18:54","ST-1548","19B00800003888","ST-725","2019-01-01 22:22:27",3,820,"AGE_002","USR_001","BIL_014",22,1,3,22,1,3,1,"관악구"
8010,18239201,"2019-01-01 22:13:25","ST-18","19B00900004C5C","ST-341","2019-01-01 22:27:15",13,1130,"AGE_002","USR_001","BIL_005",22,1,3,22,1,3,1,"마포구"
8065,18239260,"2019-01-01 22:32:07","ST-28","19B0080000203F","ST-26","2019-01-01 22:36:53",4,810,"AGE_002","USR_001","BIL_002",22,1,3,22,1,3,1,"마포구"
8081,18239278,"2019-01-01 22:29:14","ST-400","19B00800003A05","ST-827","2019-01-01 22:39:38",10,1910,"AGE_002","USR_001","BIL_002",22,1,3,22,1,3,1,"동대문구"
8153,18239355,"2019-01-01 22:34:17","ST-241","19B0080000218B","ST-177","2019-01-01 22:51:13",16,2670,"AGE_006","USR_001","BIL_004",22,1,3,22,1,3,1,"성동구"
8366,18239589,"2019-01-01 23:11:03","ST-304","19B00600000121","ST-1320","2019-01-01 23:29:33",18,2370,"AGE_002","USR_001","BIL_004",23,1,3,23,1,3,1,"영등포구"
8812,18240052,"2019-01-02 00:12:52","ST-16","19B00900004CBE","ST-463","2019-01-02 00:55:59",41,6990,"AGE_002","USR_001","BIL_016",0,2,4,0,2,4,1,"마포구"
8877,18240130,"2019-01-02 01:01:07","ST-1227","19B0080000351E","ST-875","2019-01-02 01:11:22",9,2870,"AGE_002","USR_001","BIL_015",1,2,4,1,2,4,1,"구로구"
8880,18240133,"2019-01-02 01:05:55","ST-377","19B00800003D0A","ST-381","2019-01-02 01:12:06",5,470,"AGE_003","USR_001","BIL_005",1,2,4,1,2,4,1,"광진구"
9181,18240466,"2019-01-02 02:15:02","ST-1396","19B00800003F39","ST-603","2019-01-02 02:31:32",16,4150,"AGE_005","USR_001","BIL_004",2,2,4,2,2,4,1,"노원구"
9388,18240695,"2019-01-02 02:48:17","ST-163","19B008000037F0","ST-378","2019-01-02 03:59:28",70,13980,"AGE_004","USR_001","BIL_015",2,2,4,3,2,4,1,"중구"
9595,18240921,"2019-01-02 05:47:52","ST-293","19B008000029DF","ST-295","2019-01-02 05:50:59",2,670,"AGE_004","USR_001","BIL_005",5,2,4,5,2,4,1,"영등포구"
9644,18240975,"2019-01-02 06:10:53","ST-205","19B0060000052A","ST-202","2019-01-02 06:14:49",3,700,"AGE_003","USR_001","BIL_005",6,2,4,6,2,4,1,"마포구"
9802,18241146,"2019-01-02 06:41:46","ST-839","19B0090000490B","ST-892","2019-01-02 06:51:56",9,1880,"AGE_002","USR_001","BIL_005",6,2,4,6,2,4,1,"송파구"
10240,18241622,"2019-01-02 07:26:23","ST-173","19B00800001BA4","ST-1668","2019-01-02 07:47:40",20,3470,"AGE_003","USR_001","BIL_004",7,2,4,7,2,4,1,"종로구"
10514,18241924,"2019-01-02 07:58:39","ST-195","19B00700001771","ST-1437","2019-01-02 08:08:01",9,1120,"AGE_003","USR_001","BIL_004",7,2,4,8,2,4,1,"중구"
10685,18242123,"2019-01-02 08:12:44","ST-1607","19B009000045CC","ST-142","2019-01-02 08:18:08",4,890,"AGE_004","USR_001","BIL_015",8,2,4,8,2,4,1,"종로구"
10755,18242202,"2019-01-02 08:18:58","ST-57","19B00800003F77","ST-61","2019-01-02 08:21:17",1,600,"AGE_003","USR_001","BIL_015",8,2,4,8,2,4,1,"영등포구"
10789,18242240,"2019-01-02 08:11:46","ST-678","19B0080000276B","ST-1523","2019-01-02 08:22:54",10,1380,"AGE_002","USR_001","BIL_004",8,2,4,8,2,4,1,"구로구"
11000,18242463,"2019-01-02 07:53:28","ST-1408","19B007000016A4","ST-955","2019-01-02 08:32:50",39,10260,"AGE_005","USR_001","BIL_015",7,2,4,8,2,4,1,"송파구"
11088,18242556,"2019-01-02 08:29:05","ST-393","19B00700000C20","ST-392","2019-01-02 08:36:13",6,1610,"AGE_003","USR_001","BIL_004",8,2,4,8,2,4,1,"동대문구"
11170,18242644,"2019-01-02 08:32:26","ST-1034","19B008000040C3","ST-221","2019-01-02 08:38:41",5,1130,"AGE_002","USR_001","BIL_005",8,2,4,8,2,4,1,"은평구"
11195,18242669,"2019-01-02 08:15:46","ST-337","19B00800003B95","ST-196","2019-01-02 08:39:11",22,4480,"AGE_002","USR_001","BIL_002",8,2,4,8,2,4,1,"종로구"
11250,18242730,"2019-01-02 08:31:25","ST-1469","19B00800001C6F","ST-861","2019-01-02 08:40:48",8,1390,"AGE_003","USR_001","BIL_005",8,2,4,8,2,4,1,"도봉구"
11283,18242766,"2019-01-02 08:36:44","ST-128","19B008000029F0","ST-116","2019-01-02 08:42:07",5,390,"AGE_004","USR_001","BIL_005",8,2,4,8,2,4,1,"중구"
11332,18242816,"2019-01-02 08:37:16","ST-703","19B00800001EB5","ST-1268","2019-01-02 08:43:19",5,1020,"AGE_005","USR_001","BIL_014",8,2,4,8,2,4,1,"관악구"
11507,18243005,"2019-01-02 08:31:37","ST-838","19B00900004C03","ST-1580","2019-01-02 08:48:34",15,3950,"AGE_005","USR_001","BIL_005",8,2,4,8,2,4,1,"송파구"
11534,18243032,"2019-01-02 08:18:08","ST-1336","19B00800003FE7","ST-404","2019-01-02 08:49:24",30,5420,"AGE_002","USR_001","BIL_004",8,2,4,8,2,4,1,"성동구"
11591,18243095,"2019-01-02 08:45:57","ST-52","19B00800004263","ST-60","2019-01-02 08:51:03",4,500,"AGE_004","USR_001","BIL_004",8,2,4,8,2,4,1,"영등포구"
11716,18243226,"2019-01-02 08:50:20","ST-933","19B00800004039","ST-547","2019-01-02 08:55:10",4,1330,"AGE_002","USR_001","BIL_006",8,2,4,8,2,4,1,"송파구"
11751,18243262,"2019-01-02 08:52:51","ST-760","19B00900004BDA","ST-758","2019-01-02 08:56:33",3,620,"AGE_003","USR_001","BIL_004",8,2,4,8,2,4,1,"서초구"
11754,18243266,"2019-01-02 08:51:09","ST-119","19B009000049AD","ST-336","2019-01-02 08:56:47",5,880,"AGE_002","USR_001","BIL_004",8,2,4,8,2,4,1,"종로구"
11937,18243458,"2019-01-02 09:06:39","ST-891","19B00900004618","ST-1585","2019-01-02 09:09:18",2,650,"AGE_002","USR_001","BIL_014",9,2,4,9,2,4,1,"송파구"
12010,18243542,"2019-01-02 08:58:33","ST-1021","19B00700000D08","ST-455","2019-01-02 09:15:40",16,1090,"AGE_003","USR_001","BIL_002",8,2,4,9,2,4,1,"은평구"
12049,18243582,"2019-01-02 09:09:11","ST-752","19B00800001E33","ST-935","2019-01-02 09:18:53",9,1710,"AGE_004","USR_001","BIL_005",9,2,4,9,2,4,1,"서초구"
12210,18243752,"2019-01-02 09:30:17","ST-28","19B00800001C61","ST-27","2019-01-02 09:32:13",1,490,"AGE_003","USR_001","BIL_015",9,2,4,9,2,4,1,"마포구"
12288,18243837,"2019-01-02 09:22:46","ST-1206","19B00700001779","ST-1201","2019-01-02 09:40:32",17,2290,"AGE_002","USR_001","BIL_004",9,2,4,9,2,4,1,"성북구"
12292,18243841,"2019-01-02 09:33:06","ST-828","19B00600000628","ST-1352","2019-01-02 09:40:56",7,1980,"AGE_002","USR_001","BIL_004",9,2,4,9,2,4,1,"강서구"
12365,18243918,"2019-01-02 09:36:49","ST-856","19B00800003FD8","ST-1451","2019-01-02 09:46:39",9,1280,"AGE_002","USR_001","BIL_004",9,2,4,9,2,4,1,"중랑구"
12421,18243978,"2019-01-02 09:38:35","ST-189","19B00800003BD7","ST-237","2019-01-02 09:51:02",12,2430,"AGE_003","USR_001","BIL_005",9,2,4,9,2,4,1,"중구"
12426,18243983,"2019-01-02 09:39:00","ST-152","19B00800002DB7","ST-151","2019-01-02 09:51:39",12,1320,"AGE_005","USR_001","BIL_004",9,2,4,9,2,4,1,"중구"
12567,18244134,"2019-01-02 10:00:03","ST-964","19B00800001CD4","ST-603","2019-01-02 10:06:03",5,980,"AGE_002","USR_001","BIL_006",10,2,4,10,2,4,1,"노원구"
12568,18244135,"2019-01-02 10:03:52","ST-1247","19B00800003E0B","ST-815","2019-01-02 10:06:03",1,350,"AGE_005","USR_001","BIL_014",10,2,4,10,2,4,1,"강남구"
12572,18244140,"2019-01-02 09:54:58","ST-611","19B00800001C94","ST-617","2019-01-02 10:06:21",10,1600,"AGE_004","USR_001","BIL_002",9,2,4,10,2,4,1,"노원구"
12591,18244160,"2019-01-02 10:02:34","ST-1631","19B00700000A49","ST-827","2019-01-02 10:08:33",5,780,"AGE_002","USR_001","BIL_004",10,2,4,10,2,4,1,"동대문구"
13193,18244808,"2019-01-02 11:33:47","ST-174","19B0090000486C","ST-159","2019-01-02 11:37:44",3,730,"AGE_004","USR_001","BIL_015",11,2,4,11,2,4,1,"종로구"
13209,18244825,"2019-01-02 11:15:56","ST-375","19B00800003C32","ST-375","2019-01-02 11:39:20",23,1250,"AGE_003","USR_001","BIL_015",11,2,4,11,2,4,1,"성동구"
13256,18244874,"2019-01-02 10:59:15","ST-88","19B00800001B5F","ST-341","2019-01-02 11:44:53",45,3990,"AGE_004","USR_001","BIL_015",10,2,4,11,2,4,1,"마포구"
13698,18245355,"2019-01-02 11:48:45","ST-45","19B008000040C7","ST-45","2019-01-02 12:36:14",47,9920,"AGE_005","USR_001","BIL_005",11,2,4,12,2,4,1,"영등포구"
13811,18245480,"2019-01-02 12:06:14","ST-5","19B00700001355","ST-4","2019-01-02 12:47:18",40,2670,"AGE_004","USR_001","BIL_015",12,2,4,12,2,4,1,"마포구"
14389,18246111,"2019-01-02 13:30:31","ST-1714","19B008000022B5","ST-1250","2019-01-02 13:45:24",14,2000,"AGE_004","USR_001","BIL_006",13,2,4,13,2,4,1,"강서구"
14453,18246181,"2019-01-02 13:20:26","ST-610","19B00700001698","ST-617","2019-01-02 13:52:06",31,1890,"AGE_003","USR_001","BIL_015",13,2,4,13,2,4,1,"노원구"
14461,18246189,"2019-01-02 13:48:14","ST-313","19B008000039C5","ST-536","2019-01-02 13:53:20",4,910,"AGE_002","USR_001","BIL_005",13,2,4,13,2,4,1,"양천구"
14746,18246497,"2019-01-02 13:52:29","ST-1334","19B0080000427F","ST-361","2019-01-02 14:23:32",30,5850,"AGE_003","USR_001","BIL_004",13,2,4,14,2,4,1,"중랑구"
14770,18246523,"2019-01-02 14:05:33","ST-369","19B007000012A6","ST-1197","2019-01-02 14:27:03",21,1730,"AGE_003","USR_001","BIL_015",14,2,4,14,2,4,1,"성동구"
14856,18246615,"2019-01-02 12:41:36","ST-400","19B009000045A8","ST-408","2019-01-02 14:37:06",115,3550,"AGE_008","USR_002","BIL_017",12,2,4,14,2,4,1,"동대문구"
14865,18246624,"2019-01-02 14:19:15","ST-737","19B007000011DD","ST-1716","2019-01-02 14:38:34",18,2740,"AGE_002","USR_001","BIL_002",14,2,4,14,2,4,1,"송파구"
14982,18246742,"2019-01-02 14:28:36","ST-831","19B008000044C2","ST-1251","2019-01-02 14:48:18",19,3380,"AGE_003","USR_001","BIL_002",14,2,4,14,2,4,1,"강서구"
15163,18246937,"2019-01-02 14:42:29","ST-674","19B00800003090","ST-918","2019-01-02 15:07:00",23,2750,"AGE_003","USR_001","BIL_004",14,2,4,15,2,4,1,"구로구"
