"rent_date","rent_place","using_time","dist","bill_type"
"2019-01-01 17:03:03","ST-1290",20,2920,"BIL_015"
"2019-01-01 17:25:05","ST-363",2,610,"BIL_005"
"2019-01-01 17:17:22","ST-563",19,2780,"BIL_005"
"2019-01-01 17:55:02","ST-729",5,850,"BIL_004"
"2019-01-01 17:56:25","ST-617",7,1130,"BIL_002"
"2019-01-01 17:39:06","ST-1659",28,3020,"BIL_001"
"2019-01-01 17:52:26","ST-1501",19,3550,"BIL_004"
"2019-01-01 18:07:22","ST-111",7,1360,"BIL_005"
"2019-01-01 18:06:16","ST-946",8,1370,"BIL_006"
"2019-01-01 18:15:46","ST-1064",8,1430,"BIL_014"
"2019-01-01 18:13:02","ST-849",25,3870,"BIL_004"
"2019-01-01 19:19:53","ST-1081",12,1360,"BIL_005"
"2019-01-01 19:37:30","ST-311",7,1460,"BIL_002"
"2019-01-01 20:08:45","ST-336",4,510,"BIL_005"
"2019-01-01 20:24:30","ST-101",31,2870,"BIL_014"
"2019-01-01 20:52:01","ST-368",4,900,"BIL_004"
"2019-01-01 20:50:08","ST-95",13,2030,"BIL_014"
"2019-01-01 20:56:08","ST-712",10,1250,"BIL_002"
"2019-01-01 20:58:40","ST-1259",13,1980,"BIL_015"
"2019-01-01 21:11:10","ST-1671",6,1190,"BIL_014"
"2019-01-01 21:21:51","ST-903",18,4180,"BIL_005"
"2019-01-01 21:29:21","ST-527",23,3670,"BIL_004"
"2019-01-01 21:59:11","ST-849",5,1080,"BIL_004"
"2019-01-01 22:18:54","ST-1548",3,820,"BIL_014"
"2019-01-01 22:13:25","ST-18",13,1130,"BIL_005"
"2019-01-01 22:32:07","ST-28",4,810,"BIL_002"
"2019-01-01 22:29:14","ST-400",10,1910,"BIL_002"
"2019-01-01 22:34:17","ST-241",16,2670,"BIL_004"
"2019-01-01 23:11:03","ST-304",18,2370,"BIL_004"
"2019-01-02 00:12:52","ST-16",41,6990,"BIL_016"
"2019-01-02 01:01:07","ST-1227",9,2870,"BIL_015"
"2019-01-02 01:05:55","ST-377",5,470,"BIL_005"
"2019-01-02 02:15:02","ST-1396",16,4150,"BIL_004"
"2019-01-02 02:48:17","ST-163",70,13980,"BIL_015"
"2019-01-02 05:47:52","ST-293",2,670,"BIL_005"
"2019-01-02 06:10:53","ST-205",3,700,"BIL_005"
"2019-01-02 06:41:46","ST-839",9,1880,"BIL_005"
"2019-01-02 07:26:23","ST-173",20,3470,"BIL_004"
"2019-01-02 07:58:39","ST-195",9,1120,"BIL_004"
"2019-01-02 08:12:44","ST-1607",4,890,"BIL_015"
"2019-01-02 08:18:58","ST-57",1,600,"BIL_015"
"2019-01-02 08:11:46","ST-678",10,1380,"BIL_004"
"2019-01-02 07:53:28","ST-1408",39,10260,"BIL_015"
"2019-01-02 08:29:05","ST-393",6,1610,"BIL_004"
"2019-01-02 08:32:26","ST-1034",5,1130,"BIL_005"
"2019-01-02 08:15:46","ST-337",22,4480,"BIL_002"
"2019-01-02 08:31:25","ST-1469",8,1390,"BIL_005"
"2019-01-02 08:36:44","ST-128",5,390,"BIL_005"
"2019-01-02 08:37:16","ST-703",5,1020,"BIL_014"
"2019-01-02 08:31:37","ST-838",15,3950,"BIL_005"
"2019-01-02 08:18:08","ST-1336",30,5420,"BIL_004"
"2019-01-02 08:45:57","ST-52",4,500,"BIL_004"
"2019-01-02 08:50:20","ST-933",4,1330,"BIL_006"
"2019-01-02 08:52:51","ST-760",3,620,"BIL_004"
"2019-01-02 08:51:09","ST-119",5,880,"BIL_004"
"2019-01-02 09:06:39","ST-891",2,650,"BIL_014"
"2019-01-02 08:58:33","ST-1021",16,1090,"BIL_002"
"2019-01-02 09:09:11","ST-752",9,1710,"BIL_005"
"2019-01-02 09:30:17","ST-28",1,490,"BIL_015"
"2019-01-02 09:22:46","ST-1206",17,2290,"BIL_004"
"2019-01-02 09:33:06","ST-828",7,1980,"BIL_004"
"2019-01-02 09:36:49","ST-856",9,1280,"BIL_004"
"2019-01-02 09:38:35","ST-189",12,2430,"BIL_005"
"2019-01-02 09:39:00","ST-152",12,1320,"BIL_004"
"2019-01-02 10:00:03","ST-964",5,980,"BIL_006"
"2019-01-02 10:03:52","ST-1247",1,350,"BIL_014"
"2019-01-02 09:54:58","ST-611",10,1600,"BIL_002"
"2019-01-02 10:02:34","ST-1631",5,780,"BIL_004"
"2019-01-02 11:33:47","ST-174",3,730,"BIL_015"
"2019-01-02 11:15:56","ST-375",23,1250,"BIL_015"
"2019-01-02 10:59:15","ST-88",45,3990,"BIL_015"
"2019-01-02 11:48:45","ST-45",47,9920,"BIL_005"
"2019-01-02 12:06:14","ST-5",40,2670,"BIL_015"
"2019-01-02 13:30:31","ST-1714",14,2000,"BIL_006"
"2019-01-02 13:20:26","ST-610",31,1890,"BIL_015"
"2019-01-02 13:48:14","ST-313",4,910,"BIL_005"
"2019-01-02 13:52:29","ST-1334",30,5850,"BIL_004"
"2019-01-02 14:05:33","ST-369",21,1730,"BIL_015"
"2019-01-02 12:41:36","ST-400",115,3550,"BIL_017"
"2019-01-02 14:19:15","ST-737",18,2740,"BIL_002"
"2019-01-02 14:28:36","ST-831",19,3380,"BIL_002"
"2019-01-02 14:42:29","ST-674",23,2750,"BIL_004"
"2019-01-02 15:02:15","ST-1110",11,1230,"BIL_004"
"2019-01-02 15:33:11","ST-1671",5,1270,"BIL_004"
"2019-01-02 15:31:54","ST-1505",9,1350,"BIL_015"
"2019-01-02 15:43:03","ST-1361",7,1550,"BIL_002"
"2019-01-02 15:24:35","ST-249",33,3880,"BIL_014"
"2019-01-02 15:51:06","ST-810",7,1440,"BIL_004"
"2019-01-02 16:09:06","ST-1397",9,1670,"BIL_002"
"2019-01-02 15:54:23","ST-73",25,4590,"BIL_004"
"2019-01-02 15:36:13","ST-407",57,12420,"BIL_006"
"2019-01-02 16:28:55","ST-402",4,330,"BIL_015"
"2019-01-02 16:32:15","ST-1425",1,550,"BIL_004"
"2019-01-02 16:33:10","ST-55",2,490,"BIL_004"
"2019-01-02 16:26:00","ST-1203",13,1510,"BIL_015"
"2019-01-02 16:25:50","ST-906",15,1880,"BIL_006"
"2019-01-02 16:34:56","ST-471",8,1620,"BIL_004"
"2019-01-02 15:54:33","ST-58",49,1260,"BIL_004"
"2019-01-02 16:38:21","ST-1047",8,1360,"BIL_005"
"2019-01-02 16:59:00","ST-148",3,430,"BIL_014"
"2019-01-02 16:56:24","ST-77",9,1480,"BIL_015"
"2019-01-02 16:55:43","ST-127",17,2990,"BIL_004"
"2019-01-02 17:11:00","ST-392",6,1110,"BIL_004"
"2019-01-02 16:34:51","ST-842",41,10650,"BIL_002"
"2019-01-02 17:22:17","ST-1015",3,630,"BIL_015"
"2019-01-02 15:46:13","ST-1615",106,12040,"BIL_016"
"2019-01-02 17:26:23","ST-111",6,750,"BIL_004"
"2019-01-02 17:28:35","ST-106",8,880,"BIL_015"
"2019-01-02 17:38:44","ST-293",5,900,"BIL_014"
"2019-01-02 17:38:57","ST-322",18,1930,"BIL_015"
"2019-01-02 18:11:00","ST-781",4,970,"BIL_004"
"2019-01-02 18:03:53","ST-51",13,2490,"BIL_005"
"2019-01-02 18:07:36","ST-1432",15,2520,"BIL_015"
"2019-01-02 17:35:07","ST-891",51,1930,"BIL_002"
"2019-01-02 18:17:53","ST-883",8,1350,"BIL_005"
"2019-01-02 18:27:13","ST-1549",7,800,"BIL_014"
"2019-01-02 18:14:21","ST-1339",34,7100,"BIL_007"
"2019-01-02 18:43:04","ST-1275",7,1480,"BIL_005"
"2019-01-02 18:32:52","ST-287",17,1640,"BIL_002"
"2019-01-02 18:45:08","ST-750",9,1590,"BIL_014"
"2019-01-02 18:22:53","ST-1580",39,7070,"BIL_005"
"2019-01-02 18:56:20","ST-961",9,1560,"BIL_005"
"2019-01-02 19:04:22","ST-295",6,830,"BIL_002"
"2019-01-02 18:57:05","ST-266",18,2890,"BIL_005"
"2019-01-02 19:06:47","ST-1137",9,1400,"BIL_012"
"2019-01-02 18:48:36","ST-132",29,650,"BIL_005"
"2019-01-02 19:17:28","ST-173",4,860,"BIL_015"
"2019-01-02 19:18:18","ST-249",5,890,"BIL_004"
"2019-01-02 19:17:24","ST-1607",7,1260,"BIL_005"
"2019-01-02 18:09:22","ST-1375",94,17590,"BIL_014"
"2019-01-02 19:30:49","ST-18",13,2610,"BIL_014"
"2019-01-02 19:11:28","ST-795",36,7450,"BIL_014"
"2019-01-02 19:40:58","ST-145",8,1080,"BIL_004"
"2019-01-02 19:54:12","ST-959",3,810,"BIL_005"
"2019-01-02 19:52:19","ST-1119",14,1810,"BIL_004"
"2019-01-02 19:16:02","ST-369",55,7490,"BIL_012"
"2019-01-02 20:03:03","ST-1081",10,1370,"BIL_004"
"2019-01-02 20:10:16","ST-289",12,2090,"BIL_004"
"2019-01-02 20:00:37","ST-525",29,3510,"BIL_004"
"2019-01-02 18:43:54","ST-211",108,3130,"BIL_004"
"2019-01-02 19:59:03","ST-1203",31,3970,"BIL_006"
"2019-01-02 20:18:50","ST-1083",12,1690,"BIL_015"
"2019-01-02 20:25:51","ST-721",6,1380,"BIL_005"
"2019-01-02 20:27:15","ST-974",20,3320,"BIL_005"
"2019-01-02 20:40:55","ST-522",7,630,"BIL_006"
"2019-01-02 20:44:46","ST-784",11,1760,"BIL_005"
"2019-01-02 20:43:47","ST-863",17,3250,"BIL_015"
"2019-01-02 20:46:48","ST-602",18,3300,"BIL_005"
"2019-01-02 20:56:19","ST-906",13,2310,"BIL_005"
"2019-01-02 20:54:09","ST-224",17,3230,"BIL_004"
"2019-01-02 21:08:16","ST-1140",12,2090,"BIL_014"
"2019-01-02 21:08:27","ST-392",13,2180,"BIL_004"
"2019-01-02 21:42:43","ST-178",5,1300,"BIL_005"
"2019-01-02 21:55:07","ST-847",3,490,"BIL_002"
"2019-01-02 21:52:32","ST-237",7,860,"BIL_004"
"2019-01-02 21:43:07","ST-1279",24,3440,"BIL_015"
"2019-01-02 21:34:39","ST-1660",33,3310,"BIL_007"
"2019-01-02 22:02:50","ST-596",10,1330,"BIL_005"
"2019-01-02 22:15:06","ST-1291",7,920,"BIL_005"
"2019-01-02 22:20:39","ST-72",2,510,"BIL_014"
"2019-01-02 22:45:36","ST-1484",8,1720,"BIL_004"
"2019-01-02 22:50:21","ST-97",3,720,"BIL_014"
"2019-01-02 22:53:54","ST-786",1,580,"BIL_015"
"2019-01-02 22:49:47","ST-600",23,2800,"BIL_002"
"2019-01-02 22:59:46","ST-818",15,2490,"BIL_006"
"2019-01-02 23:04:28","ST-186",19,4550,"BIL_002"
"2019-01-02 23:24:52","ST-610",19,3360,"BIL_004"
"2019-01-02 23:42:14","ST-194",17,2290,"BIL_002"
"2019-01-03 00:02:09","ST-906",7,1310,"BIL_005"
"2019-01-03 00:19:58","ST-1546",11,2270,"BIL_004"
"2019-01-03 00:29:44","ST-368",13,1740,"BIL_004"
"2019-01-03 00:27:50","ST-1210",21,4870,"BIL_004"
"2019-01-03 00:54:08","ST-740",4,35640,"BIL_014"
"2019-01-03 00:48:09","ST-1705",0,0,"BIL_004"
"2019-01-03 01:02:37","ST-626",4,800,"BIL_004"
"2019-01-03 00:55:18","ST-1215",21,2740,"BIL_004"
"2019-01-03 00:52:11","ST-53",30,5820,"BIL_015"
"2019-01-03 01:53:17","ST-97",3,720,"BIL_014"
"2019-01-03 01:38:50","ST-1681",19,2580,"BIL_002"
"2019-01-03 02:16:14","ST-936",11,2360,"BIL_002"
"2019-01-03 02:13:18","ST-460",14,2770,"BIL_002"
"2019-01-03 02:29:16","ST-1694",18,4020,"BIL_006"
"2019-01-03 03:34:04","ST-1556",18,2130,"BIL_004"
"2019-01-03 03:51:15","ST-1201",2,610,"BIL_004"
"2019-01-03 03:57:32","ST-701",3,490,"BIL_004"
"2019-01-03 05:01:58","ST-197",19,5190,"BIL_004"
"2019-01-03 06:46:38","ST-826",3,620,"BIL_015"
"2019-01-03 06:47:30","ST-927",3,680,"BIL_002"
"2019-01-03 07:34:32","ST-1038",2,630,"BIL_004"
"2019-01-03 07:33:14","ST-906",5,1100,"BIL_005"
"2019-01-03 06:58:22","ST-1331",42,10660,"BIL_014"
"2019-01-03 07:36:08","ST-178",8,1570,"BIL_004"
"2019-01-03 07:33:02","ST-891",13,0,"BIL_004"
"2019-01-03 07:37:37","ST-675",19,122910,"BIL_014"
"2019-01-03 07:42:54","ST-1698",25,3620,"BIL_014"
"2019-01-03 08:05:28","ST-208",2,530,"BIL_005"
"2019-01-03 08:10:41","ST-293",3,710,"BIL_005"
"2019-01-03 08:11:07","ST-244",12,1830,"BIL_005"
"2019-01-03 08:21:57","ST-97",2,680,"BIL_005"
"2019-01-03 08:27:26","ST-294",2,0,"BIL_014"
"2019-01-03 08:24:54","ST-1077",5,1310,"BIL_005"
"2019-01-03 08:31:37","ST-1718",3,740,"BIL_002"
"2019-01-03 08:36:28","ST-14",4,890,"BIL_001"
"2019-01-03 08:33:13","ST-70",8,1180,"BIL_015"
"2019-01-03 08:35:22","ST-58",9,1020,"BIL_002"
"2019-01-03 08:26:35","ST-1336",27,5080,"BIL_004"
"2019-01-03 08:41:13","ST-1728",15,2990,"BIL_004"
"2019-01-03 08:58:39","ST-382",12,1700,"BIL_001"
"2019-01-03 09:24:04","ST-1698",4,610,"BIL_005"
"2019-01-03 09:02:36","ST-914",31,6420,"BIL_015"
"2019-01-03 09:28:26","ST-236",10,1850,"BIL_005"
"2019-01-03 08:48:21","ST-309",54,1530,"BIL_004"
"2019-01-03 09:48:42","ST-385",19,24870,"BIL_015"
"2019-01-03 10:17:15","ST-1247",1,360,"BIL_014"
"2019-01-03 10:12:41","ST-1303",9,1400,"BIL_014"
"2019-01-03 10:22:12","ST-1542",4,1080,"BIL_015"
"2019-01-03 10:24:38","ST-1254",9,1090,"BIL_005"
"2019-01-03 10:33:48","ST-1132",10,1990,"BIL_005"
"2019-01-03 10:42:58","ST-1419",3,700,"BIL_015"
"2019-01-03 10:39:05","ST-1298",11,1550,"BIL_004"
"2019-01-03 10:48:49","ST-813",8,1540,"BIL_004"
"2019-01-03 10:30:04","ST-975",40,11110,"BIL_004"
"2019-01-03 10:49:56","ST-1069",29,1020,"BIL_004"
"2019-01-03 10:38:36","ST-409",55,1680,"BIL_005"
"2019-01-03 09:33:19","ST-124",127,4240,"BIL_014"
"2019-01-03 11:44:03","ST-1662",4,990,"BIL_014"
"2019-01-03 11:52:54","ST-1002",11,2310,"BIL_004"
"2019-01-03 11:19:45","ST-557",56,7660,"BIL_015"
"2019-01-03 12:25:24","ST-142",6,1190,"BIL_005"
"2019-01-03 11:36:55","ST-1136",56,10540,"BIL_005"
"2019-01-03 12:34:36","ST-589",16,2270,"BIL_012"
"2019-01-03 12:58:28","ST-387",3,960,"BIL_002"
"2019-01-03 13:06:50","ST-1669",14,2330,"BIL_004"
"2019-01-03 11:35:33","ST-336",109,3380,"BIL_015"
"2019-01-03 13:21:26","ST-101",11,1210,"BIL_004"
"2019-01-03 13:35:17","ST-1024",7,1030,"BIL_006"
"2019-01-03 13:22:14","ST-220",21,4220,"BIL_014"
"2019-01-03 13:12:00","ST-256",33,5400,"BIL_008"
"2019-01-03 13:45:16","ST-924",13,1850,"BIL_004"
"2019-01-03 14:00:04","ST-105",5,880,"BIL_005"
"2019-01-03 13:48:15","ST-608",21,12970,"BIL_002"
"2019-01-03 13:36:24","ST-877",59,12200,"BIL_014"
"2019-01-03 14:34:12","ST-336",8,224570,"BIL_004"
"2019-01-03 14:34:41","ST-336",8,860,"BIL_005"
"2019-01-03 14:52:20","ST-201",9,2230,"BIL_005"
"2019-01-03 13:50:17","ST-397",73,2740,"BIL_004"
"2019-01-03 14:06:59","ST-1249",67,13650,"BIL_006"
"2019-01-03 15:05:27","ST-1427",14,2210,"BIL_004"
"2019-01-03 15:10:09","ST-1590",9,1350,"BIL_006"
"2019-01-03 15:36:48","ST-605",8,1170,"BIL_004"
"2019-01-03 15:20:10","ST-791",32,5860,"BIL_015"
"2019-01-03 15:26:09","ST-210",41,6100,"BIL_005"
"2019-01-03 16:21:12","ST-664",13,3900,"BIL_002"
"2019-01-03 15:51:52","ST-547",52,5610,"BIL_002"
"2019-01-03 16:39:17","ST-1150",6,1200,"BIL_002"
"2019-01-03 15:57:18","ST-544",51,6190,"BIL_008"
"2019-01-03 16:00:43","ST-418",51,1690,"BIL_014"
"2019-01-03 16:41:41","ST-708",17,1690,"BIL_004"
"2019-01-03 16:56:32","ST-1642",7,1150,"BIL_004"
"2019-01-03 16:56:50","ST-1008",13,32510,"BIL_004"
"2019-01-03 17:07:03","ST-8",9,1540,"BIL_015"
"2019-01-03 17:09:43","ST-329",9,216520,"BIL_004"
"2019-01-03 17:17:39","ST-18",4,1080,"BIL_005"
"2019-01-03 17:04:34","ST-241",20,3160,"BIL_005"
"2019-01-03 17:13:33","ST-391",23,3270,"BIL_004"
"2019-01-03 17:33:37","ST-1137",4,610,"BIL_002"
"2019-01-03 17:50:35","ST-1607",3,510,"BIL_005"
"2019-01-03 17:21:24","ST-86",34,6790,"BIL_002"
"2019-01-03 17:58:05","ST-540",3,760,"BIL_004"
"2019-01-03 18:04:42","ST-416",9,910,"BIL_004"
"2019-01-03 17:19:04","ST-32",55,13120,"BIL_002"
"2019-01-03 18:11:11","ST-28",7,1390,"BIL_005"
"2019-01-03 18:17:15","ST-834",3,610,"BIL_005"
"2019-01-03 09:00:04","ST-9",15,0,"BIL_015"
"2019-01-03 18:00:07","ST-175",25,2150,"BIL_014"
"2019-01-03 18:16:26","ST-111",11,2290,"BIL_004"
"2019-01-03 18:25:46","ST-136",16,244690,"BIL_004"
"2019-01-03 18:39:28","ST-728",9,2050,"BIL_004"
"2019-01-03 18:45:28","ST-66",3,740,"BIL_004"
"2019-01-03 18:31:46","ST-185",33,4690,"BIL_015"
"2019-01-03 19:01:02","ST-827",12,2160,"BIL_001"
"2019-01-03 18:33:26","ST-205",45,9650,"BIL_015"
"2019-01-03 19:07:34","ST-286",11,2760,"BIL_004"
"2019-01-03 19:30:04","ST-1370",5,1000,"BIL_001"
"2019-01-03 18:44:13","ST-1586",51,8760,"BIL_002"
"2019-01-03 18:49:30","ST-793",66,10530,"BIL_002"
"2019-01-03 19:46:13","ST-1342",11,1520,"BIL_004"
"2019-01-03 19:54:45","ST-426",3,710,"BIL_004"
"2019-01-03 19:56:52","ST-828",3,650,"BIL_004"
"2019-01-03 19:51:29","ST-787",17,2870,"BIL_004"
"2019-01-03 20:32:46","ST-290",35,5570,"BIL_015"
"2019-01-03 20:59:01","ST-6",9,1410,"BIL_002"
"2019-01-03 21:00:17","ST-398",10,670,"BIL_012"
"2019-01-03 20:36:10","ST-749",50,12640,"BIL_006"
"2019-01-03 21:17:46","ST-172",11,2270,"BIL_004"
"2019-01-03 21:07:50","ST-1589",22,3420,"BIL_004"
"2019-01-03 20:31:09","ST-498",62,2450,"BIL_005"
"2019-01-03 21:26:39","ST-93",10,2440,"BIL_005"
"2019-01-03 22:02:13","ST-1316",11,1660,"BIL_006"
"2019-01-03 22:06:48","ST-327",8,1450,"BIL_004"
"2019-01-03 22:13:32","ST-1221",3,970,"BIL_002"
"2019-01-03 22:07:37","ST-401",41,6290,"BIL_014"
"2019-01-03 21:58:32","ST-1197",54,3050,"BIL_015"
"2019-01-03 20:55:58","ST-1711",123,2110,"BIL_014"
"2019-01-03 22:15:39","ST-456",63,15710,"BIL_016"
"2019-01-03 23:04:41","ST-1629",28,2930,"BIL_006"
"2019-01-03 23:32:24","ST-719",5,970,"BIL_004"
"2019-01-04 00:00:47","ST-157",8,1170,"BIL_004"
"2019-01-04 00:16:58","ST-30",6,680,"BIL_004"
"2019-01-04 00:25:22","ST-1083",6,1080,"BIL_004"
"2019-01-04 00:40:20","ST-435",4,900,"BIL_005"
"2019-01-04 01:10:35","ST-465",4,1200,"BIL_005"
"2019-01-04 01:17:02","ST-564",10,1360,"BIL_004"
"2019-01-04 01:34:38","ST-382",11,2080,"BIL_005"
"2019-01-04 01:43:13","ST-1466",21,3790,"BIL_004"
"2019-01-04 01:55:41","ST-739",16,2780,"BIL_012"
"2019-01-04 02:50:44","ST-302",4,570,"BIL_004"
"2019-01-04 03:31:57","ST-60",13,1990,"BIL_005"
"2019-01-04 05:49:36","ST-961",5,1400,"BIL_005"
"2019-01-04 05:54:34","ST-173",5,1070,"BIL_014"
"2019-01-04 06:51:07","ST-280",2,450,"BIL_015"
"2019-01-04 07:18:58","ST-96",3,530,"BIL_005"
"2019-01-04 07:23:39","ST-270",14,2520,"BIL_004"
"2019-01-04 07:40:26","ST-459",3,610,"BIL_015"
"2019-01-04 07:09:26","ST-488",37,10230,"BIL_005"
"2019-01-04 07:44:54","ST-781",4,540,"BIL_002"
"2019-01-04 06:53:17","ST-1403",57,14580,"BIL_015"
"2019-01-04 07:54:15","ST-867",9,1250,"BIL_005"
"2019-01-04 07:56:28","ST-1657",10,2300,"BIL_005"
"2019-01-04 07:58:23","ST-558",10,1330,"BIL_014"
"2019-01-04 08:04:56","ST-586",6,1080,"BIL_002"
"2019-01-04 08:01:56","ST-583",15,184780,"BIL_002"
"2019-01-04 08:11:05","ST-469",20,4060,"BIL_004"
"2019-01-04 08:28:22","ST-65",3,670,"BIL_004"
"2019-01-04 08:25:08","ST-322",9,1660,"BIL_005"
"2019-01-04 08:26:47","ST-1084",10,1960,"BIL_005"
"2019-01-04 08:22:32","ST-1354",17,3160,"BIL_004"
"2019-01-04 08:38:57","ST-151",2,560,"BIL_005"
"2019-01-04 08:24:44","ST-385",22,4030,"BIL_002"
"2019-01-04 07:14:21","ST-1193",84,1780,"BIL_014"
"2019-01-04 08:48:21","ST-43",9,2240,"BIL_005"
"2019-01-04 08:49:04","ST-384",10,2220,"BIL_004"
"2019-01-04 08:58:08","ST-1048",3,960,"BIL_015"
"2019-01-04 08:54:07","ST-212",7,1630,"BIL_015"
"2019-01-04 08:57:43","ST-668",5,1060,"BIL_015"
"2019-01-04 08:58:39","ST-3",5,1170,"BIL_005"
"2019-01-04 08:48:09","ST-432",26,2970,"BIL_002"
"2019-01-04 09:12:11","ST-88",4,810,"BIL_004"
"2019-01-04 09:18:18","ST-14",4,1040,"BIL_014"
"2019-01-04 09:29:44","ST-183",16,2790,"BIL_002"
"2019-01-04 09:37:11","ST-1582",8,1300,"BIL_004"
"2019-01-04 09:49:53","ST-125",3,630,"BIL_006"
"2019-01-04 10:05:44","ST-1722",4,910,"BIL_015"
"2019-01-04 10:10:07","ST-1249",12,1520,"BIL_004"
"2019-01-04 10:30:39","ST-387",16,2930,"BIL_006"
"2019-01-04 10:10:59","ST-228",42,3200,"BIL_005"
"2019-01-04 10:42:31","ST-1347",13,2100,"BIL_005"
"2019-01-04 10:45:26","ST-713",12,2070,"BIL_004"
"2019-01-04 10:40:32","ST-1076",20,2180,"BIL_004"
"2019-01-04 10:54:32","ST-110",6,1790,"BIL_004"
"2019-01-04 10:46:15","ST-644",17,2480,"BIL_014"
"2019-01-04 11:30:35","ST-377",8,1310,"BIL_006"
"2019-01-04 11:38:18","ST-185",5,920,"BIL_004"
"2019-01-04 11:18:23","ST-669",39,8710,"BIL_005"
"2019-01-04 11:36:08","ST-39",29,2780,"BIL_004"
"2019-01-04 12:10:42","ST-1329",4,900,"BIL_014"
"2019-01-04 12:13:15","ST-1702",5,1110,"BIL_014"
"2019-01-04 12:13:16","ST-155",8,1120,"BIL_005"
"2019-01-04 11:36:39","ST-142",58,1220,"BIL_014"
"2019-01-04 12:08:01","ST-440",25,5000,"BIL_002"
"2019-01-04 12:31:36","ST-154",9,880,"BIL_004"
"2019-01-04 12:45:02","ST-369",8,540,"BIL_004"
"2019-01-04 12:53:02","ST-65",2,490,"BIL_002"
