"invoice_no","stock_code","description","quantity","invoice_date","unit_price","customer_id"
"536532","84991","60 TEATIME FAIRY CAKE CASES",24,2010-12-01 13:24:00,0.55,12433
"536532","84992","72 SWEETHEART FAIRY CAKE CASES",24,2010-12-01 13:24:00,0.55,12433
"536532","21213","PACK OF 72 SKULL CAKE CASES",24,2010-12-01 13:24:00,0.55,12433
"536532","21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,2010-12-01 13:24:00,0.55,12433
"536532","21212","PACK OF 72 RETROSPOT CAKE CASES",24,2010-12-01 13:24:00,0.55,12433
"536532","22198","LARGE POPCORN HOLDER",48,2010-12-01 13:24:00,1.65,12433
"536532","22197","SMALL POPCORN HOLDER",72,2010-12-01 13:24:00,0.85,12433
"536532","22315","200 RED + WHITE BENDY STRAWS",12,2010-12-01 13:24:00,1.25,12433
"536532","22667","RECIPE BOX RETROSPOT",12,2010-12-01 13:24:00,2.95,12433
"536532","22666","RECIPE BOX PANTRY YELLOW DESIGN",12,2010-12-01 13:24:00,2.95,12433
"536532","22665","RECIPE BOX BLUE SKETCHBOOK DESIGN",12,2010-12-01 13:24:00,2.95,12433
"536532","22558","CLOTHES PEGS RETROSPOT PACK 24",24,2010-12-01 13:24:00,1.49,12433
"536532","22567","20 DOLLY PEGS RETROSPOT",24,2010-12-01 13:24:00,1.25,12433
"536532","85150","LADIES & GENTLEMEN METAL SIGN",12,2010-12-01 13:24:00,2.55,12433
"536532","21166","COOK WITH WINE METAL SIGN",12,2010-12-01 13:24:00,1.95,12433
"536532","85152","HAND OVER THE CHOCOLATE   SIGN",24,2010-12-01 13:24:00,2.1,12433
"536532","82600","NO SINGING METAL SIGN",24,2010-12-01 13:24:00,2.1,12433
"536532","21733","RED HANGING HEART T-LIGHT HOLDER",6,2010-12-01 13:24:00,2.95,12433
"536532","20685","DOORMAT RED RETROSPOT",2,2010-12-01 13:24:00,7.95,12433
"536532","22842","BISCUIT TIN VINTAGE RED",6,2010-12-01 13:24:00,6.75,12433
"536532","22494","EMERGENCY FIRST AID TIN",24,2010-12-01 13:24:00,1.25,12433
"536532","21260","FIRST AID TIN",12,2010-12-01 13:24:00,3.25,12433
"536540","22968","ROSE COTTAGE KEEPSAKE BOX",4,2010-12-01 14:05:00,9.95,14911
"536540","85071A","BLUE CHARLIE+LOLA PERSONAL DOORSIGN",6,2010-12-01 14:05:00,2.95,14911
"536540","85071C","CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,2010-12-01 14:05:00,2.55,14911
"536540","22355","CHARLOTTE BAG SUKI DESIGN",50,2010-12-01 14:05:00,0.85,14911
"536540","21579","LOLITA  DESIGN  COTTON TOTE BAG",6,2010-12-01 14:05:00,2.25,14911
"536540","21576","LETS GO SHOPPING COTTON TOTE BAG",6,2010-12-01 14:05:00,2.25,14911
"536540","22147","FELTCRAFT BUTTERFLY HEARTS",12,2010-12-01 14:05:00,1.45,14911
"536540","22150","3 STRIPEY MICE FELTCRAFT",12,2010-12-01 14:05:00,1.95,14911
"536540","22492","MINI PAINT SET VINTAGE",36,2010-12-01 14:05:00,0.65,14911
"536540","22493","PAINT YOUR OWN CANVAS SET",24,2010-12-01 14:05:00,1.65,14911
"536540","21833","CAMOUFLAGE LED TORCH",12,2010-12-01 14:05:00,1.69,14911
"536540","85135B","BLUE DRAGONFLY HELICOPTER",2,2010-12-01 14:05:00,7.95,14911
"536540","85136A","YELLOW SHARK HELICOPTER",2,2010-12-01 14:05:00,7.95,14911
"536540","85136C","RED SHARK HELICOPTER",2,2010-12-01 14:05:00,7.95,14911
"536540","21055","TOOL BOX SOFT TOY",4,2010-12-01 14:05:00,8.95,14911
"536540","21056","DOCTOR'S BAG SOFT TOY",4,2010-12-01 14:05:00,8.95,14911
"536540","21889","WOODEN BOX OF DOMINOES",24,2010-12-01 14:05:00,1.25,14911
"536540","21891","TRADITIONAL WOODEN SKIPPING ROPE",12,2010-12-01 14:05:00,1.25,14911
"536540","22622","BOX OF VINTAGE ALPHABET BLOCKS",6,2010-12-01 14:05:00,9.95,14911
"536540","C2","CARRIAGE",1,2010-12-01 14:05:00,50,14911
"536541","21915","RED  HARMONICA IN BOX",12,2010-12-01 14:05:00,1.25,14911
"C536548","22244","3 HOOK HANGER MAGIC GARDEN",-4,2010-12-01 14:33:00,1.95,12472
"C536548","22242","5 HOOK HANGER MAGIC TOADSTOOL",-5,2010-12-01 14:33:00,1.65,12472
"C536548","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",-1,2010-12-01 14:33:00,2.95,12472
"C536548","22892","SET OF SALT AND PEPPER TOADSTOOLS",-7,2010-12-01 14:33:00,1.25,12472
"C536548","22654","DELUXE SEWING KIT",-1,2010-12-01 14:33:00,5.95,12472
"C536548","22767","TRIPLE PHOTO FRAME CORNICE",-2,2010-12-01 14:33:00,9.95,12472
"C536548","22333","RETROSPOT PARTY BAG + STICKER SET",-1,2010-12-01 14:33:00,1.65,12472
"C536548","22245","HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01 14:33:00,0.85,12472
"C536548","22077","6 RIBBONS RUSTIC CHARM",-6,2010-12-01 14:33:00,1.65,12472
"C536548","22631","CIRCUS PARADE LUNCH BOX",-1,2010-12-01 14:33:00,1.95,12472
"C536548","22168","ORGANISER WOOD ANTIQUE WHITE",-2,2010-12-01 14:33:00,8.5,12472
"C536548","21218","RED SPOTTY BISCUIT TIN",-3,2010-12-01 14:33:00,3.75,12472
"C536548","20957","PORCELAIN HANGING BELL SMALL",-1,2010-12-01 14:33:00,1.45,12472
"C536548","22580","ADVENT CALENDAR GINGHAM SACK",-4,2010-12-01 14:33:00,5.95,12472
"C536622","22752","SET 7 BABUSHKA NESTING BOXES",-2,2010-12-02 10:37:00,8.5,12471
"536803","22113","GREY HEART HOT WATER BOTTLE",6,2010-12-02 16:33:00,3.75,14911
"C536817","22187","GREEN CHRISTMAS TREE CARD HOLDER",-1,2010-12-02 17:08:00,4.25,14156
"C536817","71477","COLOUR GLASS. STAR T-LIGHT HOLDER",-1,2010-12-02 17:08:00,3.25,14156
"536840","22961","JAM MAKING SET PRINTED",12,2010-12-02 18:27:00,1.45,12738
"536840","22962","JAM JAR WITH PINK LID",12,2010-12-02 18:27:00,0.85,12738
"536840","22963","JAM JAR WITH GREEN LID",12,2010-12-02 18:27:00,0.85,12738
"536840","22776","SWEETHEART CAKESTAND 3 TIER",1,2010-12-02 18:27:00,9.95,12738
"536840","22952","60 CAKE CASES VINTAGE CHRISTMAS",24,2010-12-02 18:27:00,0.55,12738
"536840","22077","6 RIBBONS RUSTIC CHARM",12,2010-12-02 18:27:00,1.65,12738
"536840","22215","CAKE STAND WHITE TWO TIER LACE",2,2010-12-02 18:27:00,8.5,12738
"536840","21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,2010-12-02 18:27:00,0.55,12738
"536840","84991","60 TEATIME FAIRY CAKE CASES",24,2010-12-02 18:27:00,0.55,12738
"536840","21212","PACK OF 72 RETROSPOT CAKE CASES",24,2010-12-02 18:27:00,0.55,12738
"536840","POST","POSTAGE",1,2010-12-02 18:27:00,18,12738
"536852","22549","PICTURE DOMINOES",12,2010-12-03 09:51:00,1.45,12686
"536852","22544","MINI JIGSAW SPACEBOY",24,2010-12-03 09:51:00,0.42,12686
"536852","22539","MINI JIGSAW DOLLY GIRL",24,2010-12-03 09:51:00,0.42,12686
"536852","22661","CHARLOTTE BAG DOLLY GIRL DESIGN",10,2010-12-03 09:51:00,0.85,12686
"536852","21791","VINTAGE HEADS AND TAILS CARD GAME",12,2010-12-03 09:51:00,1.25,12686
"536852","21786","POLKADOT RAIN HAT",24,2010-12-03 09:51:00,0.42,12686
"536852","POST","POSTAGE",1,2010-12-03 09:51:00,18,12686
"536858","22326","ROUND SNACK BOXES SET OF4 WOODLAND",30,2010-12-03 10:36:00,2.95,13520
"536858","22554","PLASTERS IN TIN WOODLAND ANIMALS",36,2010-12-03 10:36:00,1.65,13520
"536858","21731","RED TOADSTOOL LED NIGHT LIGHT",24,2010-12-03 10:36:00,1.65,13520
"536858","20677","PINK POLKADOT BOWL",16,2010-12-03 10:36:00,1.25,13520
"536858","20750","RED RETROSPOT MINI CASES",2,2010-12-03 10:36:00,7.95,13520
"536858","POST","POSTAGE",2,2010-12-03 10:36:00,40,13520
"536861","22149","FELTCRAFT 6 FLOWER FRIENDS",6,2010-12-03 10:44:00,2.1,12427
"536861","22077","6 RIBBONS RUSTIC CHARM",12,2010-12-03 10:44:00,1.65,12427
"536861","21249","WOODLAND  HEIGHT CHART STICKERS",6,2010-12-03 10:44:00,2.95,12427
"536861","22636","CHILDS BREAKFAST SET CIRCUS PARADE",8,2010-12-03 10:44:00,7.65,12427
"536861","22634","CHILDS BREAKFAST SET SPACEBOY",8,2010-12-03 10:44:00,8.5,12427
"536861","22301","COFFEE MUG CAT + BIRD DESIGN",6,2010-12-03 10:44:00,2.55,12427
"536861","22300","COFFEE MUG DOG + BALL DESIGN",6,2010-12-03 10:44:00,2.55,12427
"536861","21328","BALLOONS  WRITING SET",12,2010-12-03 10:44:00,1.65,12427
"536861","21329","DINOSAURS  WRITING SET",12,2010-12-03 10:44:00,1.65,12427
"536861","POST","POSTAGE",3,2010-12-03 10:44:00,18,12427
"536885","21832","CHOCOLATE CALCULATOR",24,2010-12-03 11:42:00,1.65,NA
"536885","21523","DOORMAT FANCY FONT HOME SWEET HOME",10,2010-12-03 11:42:00,6.75,NA
"536885","48184","DOORMAT ENGLISH ROSE",10,2010-12-03 11:42:00,6.75,NA
"536885","22837","HOT WATER BOTTLE BABUSHKA",24,2010-12-03 11:42:00,4.65,NA
"536885","22632","HAND WARMER RED RETROSPOT",12,2010-12-03 11:42:00,2.1,NA
"536885","22834","HAND WARMER BABUSHKA DESIGN",12,2010-12-03 11:42:00,2.1,NA
"536885","22867","HAND WARMER BIRD DESIGN",12,2010-12-03 11:42:00,2.1,NA
"536885","22865","HAND WARMER OWL DESIGN",12,2010-12-03 11:42:00,2.1,NA
"536885","22866","HAND WARMER SCOTTY DOG DESIGN",12,2010-12-03 11:42:00,2.1,NA
"536885","22312","OFFICE MUG WARMER POLKADOT",36,2010-12-03 11:42:00,2.95,NA
"536885","51014C","FEATHER PEN,COAL BLACK",36,2010-12-03 11:42:00,0.85,NA
"536890","17090A","LAVENDER INCENSE 40 CONES IN TIN",36,2010-12-03 11:48:00,0.85,14156
"536890","17084R","ASSORTED INCENSE PACK",1440,2010-12-03 11:48:00,0.16,14156
"536890","17091J","VANILLA INCENSE IN TIN",72,2010-12-03 11:48:00,0.85,14156
"536944","22383","LUNCH BAG SUKI  DESIGN",70,2010-12-03 12:20:00,1.65,12557
"536944","22384","LUNCH BAG PINK POLKADOT",100,2010-12-03 12:20:00,1.45,12557
"536944","20727","LUNCH BAG  BLACK SKULL.",60,2010-12-03 12:20:00,1.65,12557
"536944","20725","LUNCH BAG RED RETROSPOT",70,2010-12-03 12:20:00,1.65,12557
"536944","20728","LUNCH BAG CARS BLUE",100,2010-12-03 12:20:00,1.45,12557
"536967","POST","POSTAGE",1,2010-12-03 12:57:00,18,12600
"536967","85099B","JUMBO BAG RED RETROSPOT",30,2010-12-03 12:57:00,1.95,12600
"536974","15056BL","EDWARDIAN PARASOL BLACK",9,2010-12-03 13:59:00,5.95,12682
"536974","15056P","EDWARDIAN PARASOL PINK",3,2010-12-03 13:59:00,5.95,12682
"536974","20679","EDWARDIAN PARASOL RED",6,2010-12-03 13:59:00,5.95,12682
"536974","21915","RED  HARMONICA IN BOX",12,2010-12-03 13:59:00,1.25,12682
"536974","22659","LUNCH BOX I LOVE LONDON",12,2010-12-03 13:59:00,1.95,12682
"536974","22352","LUNCH BOX WITH CUTLERY RETROSPOT",12,2010-12-03 13:59:00,2.55,12682
"536974","22892","SET OF SALT AND PEPPER TOADSTOOLS",12,2010-12-03 13:59:00,1.25,12682
"536974","22027","TEA PARTY BIRTHDAY CARD",12,2010-12-03 13:59:00,0.42,12682
"536974","20749","ASSORTED COLOUR MINI CASES",2,2010-12-03 13:59:00,7.95,12682
"536974","20750","RED RETROSPOT MINI CASES",2,2010-12-03 13:59:00,7.95,12682
"536974","21700","BIG DOUGHNUT FRIDGE MAGNETS",12,2010-12-03 13:59:00,0.85,12682
"536974","22748","POPPY'S PLAYHOUSE KITCHEN",6,2010-12-03 13:59:00,2.1,12682
"536974","22080","RIBBON REEL POLKADOTS",10,2010-12-03 13:59:00,1.65,12682
"536974","20725","LUNCH BAG RED RETROSPOT",10,2010-12-03 13:59:00,1.65,12682
"536974","20726","LUNCH BAG WOODLAND",10,2010-12-03 13:59:00,1.65,12682
"536974","POST","POSTAGE",2,2010-12-03 13:59:00,18,12682
"536975","84352","SILVER CHRISTMAS TREE BAUBLE STAND",1,2010-12-03 14:04:00,16.95,14911
"536975","22948","METAL DECORATION NAUGHTY CHILDREN",24,2010-12-03 14:04:00,0.85,14911
"536975","22945","CHRISTMAS METAL TAGS ASSORTED",36,2010-12-03 14:04:00,0.85,14911
"536975","22944","CHRISTMAS METAL POSTCARD WITH BELLS",24,2010-12-03 14:04:00,1.25,14911
"536975","22158","3 HEARTS HANGING DECORATION RUSTIC",8,2010-12-03 14:04:00,2.95,14911
"536975","22572","ROCKING HORSE GREEN CHRISTMAS",12,2010-12-03 14:04:00,0.85,14911
"536975","22571","ROCKING HORSE RED CHRISTMAS",12,2010-12-03 14:04:00,0.85,14911
"536975","22246","GARLAND, MAGIC GARDEN 1.8M",12,2010-12-03 14:04:00,1.95,14911
"536975","22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",6,2010-12-03 14:04:00,2.95,14911
"536975","22086","PAPER CHAIN KIT 50'S CHRISTMAS",6,2010-12-03 14:04:00,2.95,14911
"536975","20668","DISCO BALL CHRISTMAS DECORATION",48,2010-12-03 14:04:00,0.12,14911
"536975","22909","SET OF 20 VINTAGE CHRISTMAS NAPKINS",24,2010-12-03 14:04:00,0.85,14911
"536975","22952","60 CAKE CASES VINTAGE CHRISTMAS",24,2010-12-03 14:04:00,0.55,14911
"536975","21815","STAR  T-LIGHT HOLDER",24,2010-12-03 14:04:00,1.45,14911
"536975","35967","FOLK ART METAL STAR T-LIGHT HOLDER",24,2010-12-03 14:04:00,0.38,14911
"536975","22049","WRAP CHRISTMAS SCREEN PRINT",50,2010-12-03 14:04:00,0.42,14911
"536975","85032D","YULETIDE IMAGES GIFT WRAP SET",12,2010-12-03 14:04:00,2.1,14911
"536975","22752","SET 7 BABUSHKA NESTING BOXES",6,2010-12-03 14:04:00,8.5,14911
"536975","22075","6 RIBBONS ELEGANT CHRISTMAS",12,2010-12-03 14:04:00,1.65,14911
"536975","22585","PACK OF 6 BIRDY GIFT TAGS",12,2010-12-03 14:04:00,1.25,14911
"536975","22844","VINTAGE CREAM DOG FOOD CONTAINER",4,2010-12-03 14:04:00,8.5,14911
"536975","22845","VINTAGE CREAM CAT FOOD CONTAINER",4,2010-12-03 14:04:00,6.35,14911
"536975","22846","BREAD BIN DINER STYLE RED",2,2010-12-03 14:04:00,16.95,14911
"536975","22847","BREAD BIN DINER STYLE IVORY",2,2010-12-03 14:04:00,16.95,14911
"536975","22848","BREAD BIN DINER STYLE PINK",2,2010-12-03 14:04:00,16.95,14911
"536975","22849","BREAD BIN DINER STYLE MINT",2,2010-12-03 14:04:00,16.95,14911
"536975","22946","WOODEN ADVENT CALENDAR CREAM",2,2010-12-03 14:04:00,16.95,14911
"536975","22947","WOODEN ADVENT CALENDAR RED",2,2010-12-03 14:04:00,16.95,14911
"536975","22560","TRADITIONAL MODELLING CLAY",24,2010-12-03 14:04:00,1.25,14911
"536975","21912","VINTAGE SNAKES & LADDERS",4,2010-12-03 14:04:00,3.75,14911
"536975","22549","PICTURE DOMINOES",12,2010-12-03 14:04:00,1.45,14911
"536975","21914","BLUE HARMONICA IN BOX",12,2010-12-03 14:04:00,1.25,14911
"536975","21888","BINGO SET",4,2010-12-03 14:04:00,3.75,14911
"536975","22623","BOX OF VINTAGE JIGSAW BLOCKS",3,2010-12-03 14:04:00,4.95,14911
"536975","21064","BOOM BOX SPEAKER BOYS",6,2010-12-03 14:04:00,5.95,14911
"536975","84558A","3D DOG PICTURE PLAYING CARDS",6,2010-12-03 14:04:00,2.95,14911
"536975","85227","SET OF 6 3D KIT CARDS FOR KIDS",12,2010-12-03 14:04:00,0.85,14911
"536975","22299","PIG KEYRING WITH LIGHT & SOUND",24,2010-12-03 14:04:00,1.25,14911
"536975","22180","RETROSPOT LAMP",4,2010-12-03 14:04:00,9.95,14911
"536975","84849B","FAIRY SOAP SOAP HOLDER",12,2010-12-03 14:04:00,1.69,14911
"536975","84849A","HELLO SAILOR BLUE SOAP HOLDER",12,2010-12-03 14:04:00,1.69,14911
"536975","20966","SANDWICH BATH SPONGE",10,2010-12-03 14:04:00,1.25,14911
"536975","20961","STRAWBERRY BATH SPONGE",10,2010-12-03 14:04:00,1.25,14911
"536975","22863","SOAP DISH BROCANTE",6,2010-12-03 14:04:00,2.95,14911
"536975","22423","REGENCY CAKESTAND 3 TIER",4,2010-12-03 14:04:00,12.75,14911
"536975","22304","COFFEE MUG BLUE PAISLEY DESIGN",6,2010-12-03 14:04:00,2.55,14911
"536975","22837","HOT WATER BOTTLE BABUSHKA",8,2010-12-03 14:04:00,4.65,14911
"536975","22941","CHRISTMAS LIGHTS 10 REINDEER",12,2010-12-03 14:04:00,8.5,14911
"536975","22942","CHRISTMAS LIGHTS 10 SANTAS",10,2010-12-03 14:04:00,8.5,14911
"536975","22816","CARD MOTORBIKE SANTA",24,2010-12-03 14:04:00,0.42,14911
"536975","22121","NOEL WOODEN BLOCK LETTERS",12,2010-12-03 14:04:00,5.45,14911
"536975","79321","CHILLI LIGHTS",4,2010-12-03 14:04:00,4.95,14911
