"country","date","confirmed"
"Belarus",2020-04-30,14027
"Belarus",2020-05-01,14917
"Belarus",2020-05-02,15828
"Belarus",2020-05-03,16705
"Belarus",2020-05-04,17489
"Belarus",2020-05-05,18350
"Belarus",2020-05-06,19255
"Belarus",2020-05-07,20168
"Belgium",2020-01-22,0
"Belgium",2020-01-23,0
"Belgium",2020-01-24,0
"Belgium",2020-01-25,0
"Belgium",2020-01-26,0
"Belgium",2020-01-27,0
"Belgium",2020-01-28,0
"Belgium",2020-01-29,0
"Belgium",2020-01-30,0
"Belgium",2020-01-31,0
"Belgium",2020-02-01,0
"Belgium",2020-02-02,0
"Belgium",2020-02-03,0
"Belgium",2020-02-04,1
"Belgium",2020-02-05,1
"Belgium",2020-02-06,1
"Belgium",2020-02-07,1
"Belgium",2020-02-08,1
"Belgium",2020-02-09,1
"Belgium",2020-02-10,1
"Belgium",2020-02-11,1
"Belgium",2020-02-12,1
"Belgium",2020-02-13,1
"Belgium",2020-02-14,1
"Belgium",2020-02-15,1
"Belgium",2020-02-16,1
"Belgium",2020-02-17,1
"Belgium",2020-02-18,1
"Belgium",2020-02-19,1
"Belgium",2020-02-20,1
"Belgium",2020-02-21,1
"Belgium",2020-02-22,1
"Belgium",2020-02-23,1
"Belgium",2020-02-24,1
"Belgium",2020-02-25,1
"Belgium",2020-02-26,1
"Belgium",2020-02-27,1
"Belgium",2020-02-28,1
"Belgium",2020-02-29,1
"Belgium",2020-03-01,2
"Belgium",2020-03-02,8
"Belgium",2020-03-03,13
"Belgium",2020-03-04,23
"Belgium",2020-03-05,50
"Belgium",2020-03-06,109
"Belgium",2020-03-07,169
"Belgium",2020-03-08,200
"Belgium",2020-03-09,239
"Belgium",2020-03-10,267
"Belgium",2020-03-11,314
"Belgium",2020-03-12,314
"Belgium",2020-03-13,559
"Belgium",2020-03-14,689
"Belgium",2020-03-15,886
"Belgium",2020-03-16,1058
"Belgium",2020-03-17,1243
"Belgium",2020-03-18,1486
"Belgium",2020-03-19,1795
"Belgium",2020-03-20,2257
"Belgium",2020-03-21,2815
"Belgium",2020-03-22,3401
"Belgium",2020-03-23,3743
"Belgium",2020-03-24,4269
"Belgium",2020-03-25,4937
"Belgium",2020-03-26,6235
"Belgium",2020-03-27,7284
"Belgium",2020-03-28,9134
"Belgium",2020-03-29,10836
"Belgium",2020-03-30,11899
"Belgium",2020-03-31,12775
"Belgium",2020-04-01,13964
"Belgium",2020-04-02,15348
"Belgium",2020-04-03,16770
"Belgium",2020-04-04,18431
"Belgium",2020-04-05,19691
"Belgium",2020-04-06,20814
"Belgium",2020-04-07,22194
"Belgium",2020-04-08,23403
"Belgium",2020-04-09,24983
"Belgium",2020-04-10,26667
"Belgium",2020-04-11,28018
"Belgium",2020-04-12,29647
"Belgium",2020-04-13,30589
"Belgium",2020-04-14,31119
"Belgium",2020-04-15,33573
"Belgium",2020-04-16,34809
"Belgium",2020-04-17,36138
"Belgium",2020-04-18,37183
"Belgium",2020-04-19,38496
"Belgium",2020-04-20,39983
"Belgium",2020-04-21,40956
"Belgium",2020-04-22,41889
"Belgium",2020-04-23,42797
"Belgium",2020-04-24,44293
"Belgium",2020-04-25,45325
"Belgium",2020-04-26,46134
"Belgium",2020-04-27,46687
"Belgium",2020-04-28,47334
"Belgium",2020-04-29,47859
"Belgium",2020-04-30,48519
"Belgium",2020-05-01,49032
"Belgium",2020-05-02,49517
"Belgium",2020-05-03,49906
"Belgium",2020-05-04,50267
"Belgium",2020-05-05,50509
"Belgium",2020-05-06,50781
"Belgium",2020-05-07,51420
"Brazil",2020-01-22,0
"Brazil",2020-01-23,0
"Brazil",2020-01-24,0
"Brazil",2020-01-25,0
"Brazil",2020-01-26,0
"Brazil",2020-01-27,0
"Brazil",2020-01-28,0
"Brazil",2020-01-29,0
"Brazil",2020-01-30,0
"Brazil",2020-01-31,0
"Brazil",2020-02-01,0
"Brazil",2020-02-02,0
"Brazil",2020-02-03,0
"Brazil",2020-02-04,0
"Brazil",2020-02-05,0
"Brazil",2020-02-06,0
"Brazil",2020-02-07,0
"Brazil",2020-02-08,0
"Brazil",2020-02-09,0
"Brazil",2020-02-10,0
"Brazil",2020-02-11,0
"Brazil",2020-02-12,0
"Brazil",2020-02-13,0
"Brazil",2020-02-14,0
"Brazil",2020-02-15,0
"Brazil",2020-02-16,0
"Brazil",2020-02-17,0
"Brazil",2020-02-18,0
"Brazil",2020-02-19,0
"Brazil",2020-02-20,0
"Brazil",2020-02-21,0
"Brazil",2020-02-22,0
"Brazil",2020-02-23,0
"Brazil",2020-02-24,0
"Brazil",2020-02-25,0
"Brazil",2020-02-26,1
"Brazil",2020-02-27,1
"Brazil",2020-02-28,1
"Brazil",2020-02-29,2
"Brazil",2020-03-01,2
"Brazil",2020-03-02,2
"Brazil",2020-03-03,2
"Brazil",2020-03-04,4
"Brazil",2020-03-05,4
"Brazil",2020-03-06,13
"Brazil",2020-03-07,13
"Brazil",2020-03-08,20
"Brazil",2020-03-09,25
"Brazil",2020-03-10,31
"Brazil",2020-03-11,38
"Brazil",2020-03-12,52
"Brazil",2020-03-13,151
"Brazil",2020-03-14,151
"Brazil",2020-03-15,162
"Brazil",2020-03-16,200
"Brazil",2020-03-17,321
"Brazil",2020-03-18,372
"Brazil",2020-03-19,621
"Brazil",2020-03-20,793
"Brazil",2020-03-21,1021
"Brazil",2020-03-22,1546
"Brazil",2020-03-23,1924
"Brazil",2020-03-24,2247
"Brazil",2020-03-25,2554
"Brazil",2020-03-26,2985
"Brazil",2020-03-27,3417
"Brazil",2020-03-28,3904
"Brazil",2020-03-29,4256
"Brazil",2020-03-30,4579
"Brazil",2020-03-31,5717
"Brazil",2020-04-01,6836
"Brazil",2020-04-02,8044
"Brazil",2020-04-03,9056
"Brazil",2020-04-04,10360
"Brazil",2020-04-05,11130
"Brazil",2020-04-06,12161
"Brazil",2020-04-07,14034
"Brazil",2020-04-08,16170
"Brazil",2020-04-09,18092
"Brazil",2020-04-10,19638
"Brazil",2020-04-11,20727
"Brazil",2020-04-12,22192
"Brazil",2020-04-13,23430
"Brazil",2020-04-14,25262
"Brazil",2020-04-15,28320
"Brazil",2020-04-16,30425
"Brazil",2020-04-17,33682
"Brazil",2020-04-18,36658
"Brazil",2020-04-19,38654
"Brazil",2020-04-20,40743
"Brazil",2020-04-21,43079
"Brazil",2020-04-22,45757
"Brazil",2020-04-23,50036
"Brazil",2020-04-24,54043
"Brazil",2020-04-25,59324
"Brazil",2020-04-26,63100
"Brazil",2020-04-27,67446
"Brazil",2020-04-28,73235
"Brazil",2020-04-29,79685
"Brazil",2020-04-30,87187
"Brazil",2020-05-01,92202
"Brazil",2020-05-02,97100
"Brazil",2020-05-03,101826
"Brazil",2020-05-04,108620
"Brazil",2020-05-05,115455
"Brazil",2020-05-06,126611
"Brazil",2020-05-07,135773
"Canada",2020-01-22,0
"Canada",2020-01-23,0
"Canada",2020-01-24,0
"Canada",2020-01-25,0
"Canada",2020-01-26,1
"Canada",2020-01-27,1
"Canada",2020-01-28,2
"Canada",2020-01-29,2
"Canada",2020-01-30,2
"Canada",2020-01-31,4
"Canada",2020-02-01,4
"Canada",2020-02-02,4
"Canada",2020-02-03,4
"Canada",2020-02-04,4
"Canada",2020-02-05,5
"Canada",2020-02-06,5
"Canada",2020-02-07,7
"Canada",2020-02-08,7
"Canada",2020-02-09,7
"Canada",2020-02-10,7
"Canada",2020-02-11,7
"Canada",2020-02-12,7
"Canada",2020-02-13,7
"Canada",2020-02-14,7
"Canada",2020-02-15,7
"Canada",2020-02-16,7
"Canada",2020-02-17,8
"Canada",2020-02-18,8
"Canada",2020-02-19,8
"Canada",2020-02-20,8
"Canada",2020-02-21,9
"Canada",2020-02-22,9
"Canada",2020-02-23,9
"Canada",2020-02-24,10
"Canada",2020-02-25,11
"Canada",2020-02-26,11
"Canada",2020-02-27,13
"Canada",2020-02-28,14
"Canada",2020-02-29,20
"Canada",2020-03-01,24
"Canada",2020-03-02,27
"Canada",2020-03-03,30
"Canada",2020-03-04,33
"Canada",2020-03-05,37
"Canada",2020-03-06,49
"Canada",2020-03-07,54
"Canada",2020-03-08,64
"Canada",2020-03-09,77
"Canada",2020-03-10,79
"Canada",2020-03-11,108
"Canada",2020-03-12,117
"Canada",2020-03-13,193
"Canada",2020-03-14,198
"Canada",2020-03-15,252
"Canada",2020-03-16,415
"Canada",2020-03-17,478
"Canada",2020-03-18,657
"Canada",2020-03-19,800
"Canada",2020-03-20,943
"Canada",2020-03-21,1277
"Canada",2020-03-22,1469
"Canada",2020-03-23,2088
"Canada",2020-03-24,2790
"Canada",2020-03-25,3251
"Canada",2020-03-26,4042
"Canada",2020-03-27,4682
"Canada",2020-03-28,5576
"Canada",2020-03-29,6280
"Canada",2020-03-30,7398
"Canada",2020-03-31,8527
"Canada",2020-04-01,9560
"Canada",2020-04-02,11284
"Canada",2020-04-03,12437
"Canada",2020-04-04,12978
"Canada",2020-04-05,15756
"Canada",2020-04-06,16563
"Canada",2020-04-07,17872
"Canada",2020-04-08,19141
"Canada",2020-04-09,20654
"Canada",2020-04-10,22059
"Canada",2020-04-11,23316
"Canada",2020-04-12,24299
"Canada",2020-04-13,25680
"Canada",2020-04-14,27035
"Canada",2020-04-15,28209
"Canada",2020-04-16,30809
"Canada",2020-04-17,32814
"Canada",2020-04-18,34356
"Canada",2020-04-19,35633
"Canada",2020-04-20,37658
"Canada",2020-04-21,39402
"Canada",2020-04-22,41663
"Canada",2020-04-23,43299
"Canada",2020-04-24,44919
"Canada",2020-04-25,46371
"Canada",2020-04-26,48033
"Canada",2020-04-27,49616
"Canada",2020-04-28,51150
"Canada",2020-04-29,52865
"Canada",2020-04-30,54457
"Canada",2020-05-01,56343
"Canada",2020-05-02,57926
"Canada",2020-05-03,60504
"Canada",2020-05-04,61957
"Canada",2020-05-05,63215
"Canada",2020-05-06,64694
"Canada",2020-05-07,66201
"Chile",2020-01-22,0
"Chile",2020-01-23,0
"Chile",2020-01-24,0
"Chile",2020-01-25,0
"Chile",2020-01-26,0
"Chile",2020-01-27,0
"Chile",2020-01-28,0
"Chile",2020-01-29,0
"Chile",2020-01-30,0
"Chile",2020-01-31,0
"Chile",2020-02-01,0
"Chile",2020-02-02,0
"Chile",2020-02-03,0
"Chile",2020-02-04,0
"Chile",2020-02-05,0
"Chile",2020-02-06,0
"Chile",2020-02-07,0
"Chile",2020-02-08,0
"Chile",2020-02-09,0
"Chile",2020-02-10,0
"Chile",2020-02-11,0
"Chile",2020-02-12,0
"Chile",2020-02-13,0
"Chile",2020-02-14,0
"Chile",2020-02-15,0
"Chile",2020-02-16,0
"Chile",2020-02-17,0
"Chile",2020-02-18,0
"Chile",2020-02-19,0
"Chile",2020-02-20,0
"Chile",2020-02-21,0
"Chile",2020-02-22,0
"Chile",2020-02-23,0
"Chile",2020-02-24,0
"Chile",2020-02-25,0
"Chile",2020-02-26,0
"Chile",2020-02-27,0
"Chile",2020-02-28,0
"Chile",2020-02-29,0
"Chile",2020-03-01,0
"Chile",2020-03-02,0
"Chile",2020-03-03,1
"Chile",2020-03-04,1
"Chile",2020-03-05,4
"Chile",2020-03-06,4
"Chile",2020-03-07,4
"Chile",2020-03-08,8
"Chile",2020-03-09,8
"Chile",2020-03-10,13
"Chile",2020-03-11,23
"Chile",2020-03-12,23
"Chile",2020-03-13,43
"Chile",2020-03-14,61
"Chile",2020-03-15,74
"Chile",2020-03-16,155
"Chile",2020-03-17,201
"Chile",2020-03-18,238
"Chile",2020-03-19,238
"Chile",2020-03-20,434
"Chile",2020-03-21,537
"Chile",2020-03-22,632
"Chile",2020-03-23,746
"Chile",2020-03-24,922
"Chile",2020-03-25,1142
"Chile",2020-03-26,1306
"Chile",2020-03-27,1610
"Chile",2020-03-28,1909
"Chile",2020-03-29,2139
"Chile",2020-03-30,2449
"Chile",2020-03-31,2738
"Chile",2020-04-01,3031
"Chile",2020-04-02,3404
"Chile",2020-04-03,3737
"Chile",2020-04-04,4161
"Chile",2020-04-05,4471
"Chile",2020-04-06,4815
"Chile",2020-04-07,5116
"Chile",2020-04-08,5546
"Chile",2020-04-09,5972
"Chile",2020-04-10,6501
"Chile",2020-04-11,6927
"Chile",2020-04-12,7213
"Chile",2020-04-13,7525
"Chile",2020-04-14,7917
"Chile",2020-04-15,8273
"Chile",2020-04-16,8807
"Chile",2020-04-17,9252
"Chile",2020-04-18,9730
"Chile",2020-04-19,10088
"Chile",2020-04-20,10507
"Chile",2020-04-21,10832
"Chile",2020-04-22,11296
"Chile",2020-04-23,11812
"Chile",2020-04-24,12306
"Chile",2020-04-25,12858
"Chile",2020-04-26,13331
"Chile",2020-04-27,13813
"Chile",2020-04-28,14365
"Chile",2020-04-29,14885
"Chile",2020-04-30,16023
"Chile",2020-05-01,17008
"Chile",2020-05-02,18435
"Chile",2020-05-03,19663
"Chile",2020-05-04,20643
"Chile",2020-05-05,22016
"Chile",2020-05-06,23048
"Chile",2020-05-07,24581
"China",2020-01-22,548
"China",2020-01-23,643
"China",2020-01-24,920
"China",2020-01-25,1406
"China",2020-01-26,2075
"China",2020-01-27,2877
"China",2020-01-28,5509
"China",2020-01-29,6087
"China",2020-01-30,8141
"China",2020-01-31,9802
"China",2020-02-01,11891
"China",2020-02-02,16630
"China",2020-02-03,19716
"China",2020-02-04,23707
"China",2020-02-05,27440
"China",2020-02-06,30587
"China",2020-02-07,34110
"China",2020-02-08,36814
"China",2020-02-09,39829
"China",2020-02-10,42354
"China",2020-02-11,44386
"China",2020-02-12,44759
"China",2020-02-13,59895
"China",2020-02-14,66358
"China",2020-02-15,68413
"China",2020-02-16,70513
"China",2020-02-17,72434
"China",2020-02-18,74211
"China",2020-02-19,74619
"China",2020-02-20,75077
"China",2020-02-21,75550
"China",2020-02-22,77001
"China",2020-02-23,77022
"China",2020-02-24,77241
"China",2020-02-25,77754
"China",2020-02-26,78166
"China",2020-02-27,78600
"China",2020-02-28,78928
"China",2020-02-29,79356
"China",2020-03-01,79932
"China",2020-03-02,80136
"China",2020-03-03,80261
"China",2020-03-04,80386
"China",2020-03-05,80537
"China",2020-03-06,80690
"China",2020-03-07,80770
"China",2020-03-08,80823
"China",2020-03-09,80860
"China",2020-03-10,80887
"China",2020-03-11,80921
"China",2020-03-12,80932
"China",2020-03-13,80945
"China",2020-03-14,80977
"China",2020-03-15,81003
"China",2020-03-16,81033
"China",2020-03-17,81058
"China",2020-03-18,81102
"China",2020-03-19,81156
"China",2020-03-20,81250
"China",2020-03-21,81305
"China",2020-03-22,81435
"China",2020-03-23,81498
"China",2020-03-24,81591
"China",2020-03-25,81661
"China",2020-03-26,81782
"China",2020-03-27,81897
"China",2020-03-28,81999
"China",2020-03-29,82122
"China",2020-03-30,82198
"China",2020-03-31,82279
"China",2020-04-01,82361
"China",2020-04-02,82432
"China",2020-04-03,82511
"China",2020-04-04,82543
"China",2020-04-05,82602
"China",2020-04-06,82665
"China",2020-04-07,82718
"China",2020-04-08,82809
"China",2020-04-09,82883
"China",2020-04-10,82941
"China",2020-04-11,83014
"China",2020-04-12,83134
"China",2020-04-13,83213
"China",2020-04-14,83306
"China",2020-04-15,83356
"China",2020-04-16,83403
"China",2020-04-17,83760
"China",2020-04-18,83787
"China",2020-04-19,83805
"China",2020-04-20,83817
"China",2020-04-21,83853
"China",2020-04-22,83868
"China",2020-04-23,83884
"China",2020-04-24,83899
"China",2020-04-25,83909
"China",2020-04-26,83912
"China",2020-04-27,83918
"China",2020-04-28,83940
"China",2020-04-29,83944
"China",2020-04-30,83956
"China",2020-05-01,83959
"China",2020-05-02,83959
"China",2020-05-03,83964
"China",2020-05-04,83966
"China",2020-05-05,83968
"China",2020-05-06,83970
"China",2020-05-07,83975
"Ecuador",2020-01-22,0
"Ecuador",2020-01-23,0
"Ecuador",2020-01-24,0
"Ecuador",2020-01-25,0
"Ecuador",2020-01-26,0
"Ecuador",2020-01-27,0
"Ecuador",2020-01-28,0
"Ecuador",2020-01-29,0
"Ecuador",2020-01-30,0
"Ecuador",2020-01-31,0
"Ecuador",2020-02-01,0
"Ecuador",2020-02-02,0
"Ecuador",2020-02-03,0
"Ecuador",2020-02-04,0
"Ecuador",2020-02-05,0
"Ecuador",2020-02-06,0
"Ecuador",2020-02-07,0
"Ecuador",2020-02-08,0
"Ecuador",2020-02-09,0
"Ecuador",2020-02-10,0
"Ecuador",2020-02-11,0
"Ecuador",2020-02-12,0
"Ecuador",2020-02-13,0
"Ecuador",2020-02-14,0
"Ecuador",2020-02-15,0
"Ecuador",2020-02-16,0
"Ecuador",2020-02-17,0
"Ecuador",2020-02-18,0
"Ecuador",2020-02-19,0
"Ecuador",2020-02-20,0
"Ecuador",2020-02-21,0
"Ecuador",2020-02-22,0
"Ecuador",2020-02-23,0
"Ecuador",2020-02-24,0
"Ecuador",2020-02-25,0
"Ecuador",2020-02-26,0
"Ecuador",2020-02-27,0
"Ecuador",2020-02-28,0
"Ecuador",2020-02-29,0
"Ecuador",2020-03-01,6
"Ecuador",2020-03-02,6
"Ecuador",2020-03-03,7
"Ecuador",2020-03-04,10
"Ecuador",2020-03-05,13
"Ecuador",2020-03-06,13
"Ecuador",2020-03-07,13
"Ecuador",2020-03-08,14
"Ecuador",2020-03-09,15
"Ecuador",2020-03-10,15
"Ecuador",2020-03-11,17
"Ecuador",2020-03-12,17
"Ecuador",2020-03-13,17
"Ecuador",2020-03-14,28
"Ecuador",2020-03-15,28
"Ecuador",2020-03-16,37
"Ecuador",2020-03-17,58
"Ecuador",2020-03-18,111
"Ecuador",2020-03-19,199
"Ecuador",2020-03-20,367
"Ecuador",2020-03-21,506
"Ecuador",2020-03-22,789
"Ecuador",2020-03-23,981
"Ecuador",2020-03-24,1082
"Ecuador",2020-03-25,1173
"Ecuador",2020-03-26,1403
"Ecuador",2020-03-27,1595
"Ecuador",2020-03-28,1823
"Ecuador",2020-03-29,1924
"Ecuador",2020-03-30,1962
"Ecuador",2020-03-31,2240
"Ecuador",2020-04-01,2748
"Ecuador",2020-04-02,3163
"Ecuador",2020-04-03,3368
"Ecuador",2020-04-04,3465
"Ecuador",2020-04-05,3646
"Ecuador",2020-04-06,3747
"Ecuador",2020-04-07,3747
"Ecuador",2020-04-08,4450
"Ecuador",2020-04-09,4965
"Ecuador",2020-04-10,7161
"Ecuador",2020-04-11,7257
"Ecuador",2020-04-12,7466
"Ecuador",2020-04-13,7529
"Ecuador",2020-04-14,7603
"Ecuador",2020-04-15,7858
"Ecuador",2020-04-16,8225
"Ecuador",2020-04-17,8450
"Ecuador",2020-04-18,9022
"Ecuador",2020-04-19,9468
"Ecuador",2020-04-20,10128
"Ecuador",2020-04-21,10398
"Ecuador",2020-04-22,10850
"Ecuador",2020-04-23,11183
"Ecuador",2020-04-24,22719
"Ecuador",2020-04-25,22719
"Ecuador",2020-04-26,22719
"Ecuador",2020-04-27,23240
"Ecuador",2020-04-28,24258
"Ecuador",2020-04-29,24675
"Ecuador",2020-04-30,24934
"Ecuador",2020-05-01,26336
"Ecuador",2020-05-02,27464
"Ecuador",2020-05-03,29538
"Ecuador",2020-05-04,31881
"Ecuador",2020-05-05,31881
"Ecuador",2020-05-06,31881
"Ecuador",2020-05-07,30298
"France",2020-01-22,0
"France",2020-01-23,0
"France",2020-01-24,2
"France",2020-01-25,3
"France",2020-01-26,3
"France",2020-01-27,3
"France",2020-01-28,4
"France",2020-01-29,5
"France",2020-01-30,5
"France",2020-01-31,5
"France",2020-02-01,6
"France",2020-02-02,6
"France",2020-02-03,6
"France",2020-02-04,6
"France",2020-02-05,6
"France",2020-02-06,6
"France",2020-02-07,6
"France",2020-02-08,11
"France",2020-02-09,11
"France",2020-02-10,11
"France",2020-02-11,11
"France",2020-02-12,11
"France",2020-02-13,11
"France",2020-02-14,11
"France",2020-02-15,12
"France",2020-02-16,12
"France",2020-02-17,12
"France",2020-02-18,12
"France",2020-02-19,12
"France",2020-02-20,12
"France",2020-02-21,12
"France",2020-02-22,12
"France",2020-02-23,12
"France",2020-02-24,12
"France",2020-02-25,14
"France",2020-02-26,18
"France",2020-02-27,38
"France",2020-02-28,57
"France",2020-02-29,100
"France",2020-03-01,130
"France",2020-03-02,191
"France",2020-03-03,204
"France",2020-03-04,288
"France",2020-03-05,380
"France",2020-03-06,656
"France",2020-03-07,959
"France",2020-03-08,1136
"France",2020-03-09,1219
"France",2020-03-10,1794
"France",2020-03-11,2293
"France",2020-03-12,2293
"France",2020-03-13,3681
"France",2020-03-14,4496
"France",2020-03-15,4532
"France",2020-03-16,6683
"France",2020-03-17,7715
"France",2020-03-18,9124
"France",2020-03-19,10970
"France",2020-03-20,12758
"France",2020-03-21,14463
"France",2020-03-22,16243
"France",2020-03-23,20123
"France",2020-03-24,22622
"France",2020-03-25,25600
"France",2020-03-26,29551
"France",2020-03-27,33402
"France",2020-03-28,38105
"France",2020-03-29,40708
"France",2020-03-30,45170
"France",2020-03-31,52827
"France",2020-04-01,57749
"France",2020-04-02,59929
"France",2020-04-03,65202
"France",2020-04-04,69500
"France",2020-04-05,71412
"France",2020-04-06,75343
"France",2020-04-07,79163
"France",2020-04-08,83057
"France",2020-04-09,87366
"France",2020-04-10,91738
"France",2020-04-11,94863
"France",2020-04-12,121712
"France",2020-04-13,125394
"France",2020-04-14,130365
"France",2020-04-15,133585
"France",2020-04-16,146075
"France",2020-04-17,148084
"France",2020-04-18,148086
"France",2020-04-19,153011
"France",2020-04-20,155393
"France",2020-04-21,158168
"France",2020-04-22,155980
"France",2020-04-23,158303
"France",2020-04-24,159952
"France",2020-04-25,161644
"France",2020-04-26,162220
"France",2020-04-27,165963
"France",2020-04-28,169053
"France",2020-04-29,166543
"France",2020-04-30,167299
"France",2020-05-01,167305
"France",2020-05-02,168518
"France",2020-05-03,168925
"France",2020-05-04,169583
"France",2020-05-05,170687
"France",2020-05-06,174224
"France",2020-05-07,174918
"Germany",2020-01-22,0
"Germany",2020-01-23,0
"Germany",2020-01-24,0
"Germany",2020-01-25,0
"Germany",2020-01-26,0
"Germany",2020-01-27,1
"Germany",2020-01-28,4
"Germany",2020-01-29,4
"Germany",2020-01-30,4
"Germany",2020-01-31,5
"Germany",2020-02-01,8
"Germany",2020-02-02,10
"Germany",2020-02-03,12
"Germany",2020-02-04,12
"Germany",2020-02-05,12
"Germany",2020-02-06,12
"Germany",2020-02-07,13
"Germany",2020-02-08,13
"Germany",2020-02-09,14
"Germany",2020-02-10,14
"Germany",2020-02-11,16
"Germany",2020-02-12,16
"Germany",2020-02-13,16
"Germany",2020-02-14,16
"Germany",2020-02-15,16
"Germany",2020-02-16,16
"Germany",2020-02-17,16
"Germany",2020-02-18,16
"Germany",2020-02-19,16
"Germany",2020-02-20,16
"Germany",2020-02-21,16
"Germany",2020-02-22,16
"Germany",2020-02-23,16
"Germany",2020-02-24,16
"Germany",2020-02-25,17
"Germany",2020-02-26,27
"Germany",2020-02-27,46
"Germany",2020-02-28,48
"Germany",2020-02-29,79
"Germany",2020-03-01,130
"Germany",2020-03-02,159
"Germany",2020-03-03,196
"Germany",2020-03-04,262
"Germany",2020-03-05,482
"Germany",2020-03-06,670
"Germany",2020-03-07,799
"Germany",2020-03-08,1040
"Germany",2020-03-09,1176
"Germany",2020-03-10,1457
"Germany",2020-03-11,1908
"Germany",2020-03-12,2078
"Germany",2020-03-13,3675
"Germany",2020-03-14,4585
"Germany",2020-03-15,5795
"Germany",2020-03-16,7272
"Germany",2020-03-17,9257
"Germany",2020-03-18,12327
"Germany",2020-03-19,15320
"Germany",2020-03-20,19848
"Germany",2020-03-21,22213
"Germany",2020-03-22,24873
"Germany",2020-03-23,29056
"Germany",2020-03-24,32986
"Germany",2020-03-25,37323
"Germany",2020-03-26,43938
"Germany",2020-03-27,50871
"Germany",2020-03-28,57695
"Germany",2020-03-29,62095
"Germany",2020-03-30,66885
"Germany",2020-03-31,71808
"Germany",2020-04-01,77872
"Germany",2020-04-02,84794
"Germany",2020-04-03,91159
"Germany",2020-04-04,96092
"Germany",2020-04-05,100123
"Germany",2020-04-06,103374
"Germany",2020-04-07,107663
"Germany",2020-04-08,113296
"Germany",2020-04-09,118181
"Germany",2020-04-10,122171
"Germany",2020-04-11,124908
"Germany",2020-04-12,127854
"Germany",2020-04-13,130072
"Germany",2020-04-14,131359
"Germany",2020-04-15,134753
"Germany",2020-04-16,137698
"Germany",2020-04-17,141397
"Germany",2020-04-18,143342
"Germany",2020-04-19,145184
"Germany",2020-04-20,147065
"Germany",2020-04-21,148291
"Germany",2020-04-22,150648
"Germany",2020-04-23,153129
"Germany",2020-04-24,154999
"Germany",2020-04-25,156513
"Germany",2020-04-26,157770
"Germany",2020-04-27,158758
"Germany",2020-04-28,159912
"Germany",2020-04-29,161539
"Germany",2020-04-30,163009
